date,location,age_group,value
2020-10-04,DE,00+,121
2020-10-05,DE,00+,67
2020-10-06,DE,00+,201
2020-10-07,DE,00+,245
2020-10-08,DE,00+,298
2020-10-09,DE,00+,283
2020-10-10,DE,00+,269
2020-10-11,DE,00+,198
2020-10-12,DE,00+,126
2020-10-13,DE,00+,313
2020-10-14,DE,00+,299
2020-10-15,DE,00+,403
2020-10-16,DE,00+,421
2020-10-17,DE,00+,422
2020-10-18,DE,00+,282
2020-10-19,DE,00+,230
2020-10-20,DE,00+,482
2020-10-21,DE,00+,567
2020-10-22,DE,00+,710
2020-10-23,DE,00+,727
2020-10-24,DE,00+,714
2020-10-25,DE,00+,560
2020-10-26,DE,00+,417
2020-10-27,DE,00+,813
2020-10-28,DE,00+,920
2020-10-29,DE,00+,991
2020-10-30,DE,00+,970
2020-10-31,DE,00+,1010
2020-11-01,DE,00+,730
2020-11-02,DE,00+,581
2020-11-03,DE,00+,1058
2020-11-04,DE,00+,1158
2020-11-05,DE,00+,1136
2020-11-06,DE,00+,1159
2020-11-07,DE,00+,1072
2020-11-08,DE,00+,755
2020-11-09,DE,00+,607
2020-11-10,DE,00+,1058
2020-11-11,DE,00+,1167
2020-11-12,DE,00+,1270
2020-11-13,DE,00+,1360
2020-11-14,DE,00+,1247
2020-11-15,DE,00+,951
2020-11-16,DE,00+,600
2020-11-17,DE,00+,1198
2020-11-18,DE,00+,1476
2020-11-19,DE,00+,1319
2020-11-20,DE,00+,1406
2020-11-21,DE,00+,1321
2020-11-22,DE,00+,848
2020-11-23,DE,00+,646
2020-11-24,DE,00+,1287
2020-11-25,DE,00+,1388
2020-11-26,DE,00+,1472
2020-11-27,DE,00+,1393
2020-11-28,DE,00+,1297
2020-11-29,DE,00+,952
2020-11-30,DE,00+,640
2020-12-01,DE,00+,1268
2020-12-02,DE,00+,1518
2020-12-03,DE,00+,1553
2020-12-04,DE,00+,1674
2020-12-05,DE,00+,1516
2020-12-06,DE,00+,987
2020-12-07,DE,00+,762
2020-12-08,DE,00+,1534
2020-12-09,DE,00+,1838
2020-12-10,DE,00+,1896
2020-12-11,DE,00+,2016
2020-12-12,DE,00+,1812
2020-12-13,DE,00+,1339
2020-12-14,DE,00+,933
2020-12-15,DE,00+,1768
2020-12-16,DE,00+,2127
2020-12-17,DE,00+,2151
2020-12-18,DE,00+,2155
2020-12-19,DE,00+,2099
2020-12-20,DE,00+,1397
2020-12-21,DE,00+,989
2020-12-22,DE,00+,1844
2020-12-23,DE,00+,2350
2020-12-24,DE,00+,2303
2020-12-25,DE,00+,1308
2020-12-26,DE,00+,1008
2020-12-27,DE,00+,1203
2020-12-28,DE,00+,1138
2020-12-29,DE,00+,1877
2020-12-30,DE,00+,2543
2020-12-31,DE,00+,2176
2021-01-01,DE,00+,1400
2021-01-02,DE,00+,881
2021-01-03,DE,00+,1152
2021-01-04,DE,00+,1053
2021-01-05,DE,00+,1708
2021-01-06,DE,00+,2186
2021-01-07,DE,00+,1838
2021-01-08,DE,00+,1925
2021-01-09,DE,00+,1819
2021-01-10,DE,00+,1143
2021-01-11,DE,00+,707
2021-01-12,DE,00+,1454
2021-01-13,DE,00+,1897
2021-01-14,DE,00+,1736
2021-01-15,DE,00+,1705
2021-01-16,DE,00+,1570
2021-01-17,DE,00+,1030
2021-01-18,DE,00+,688
2021-01-19,DE,00+,1242
2021-01-20,DE,00+,1708
2021-01-21,DE,00+,1664
2021-01-22,DE,00+,1480
2021-01-23,DE,00+,1349
2021-01-24,DE,00+,993
2021-01-25,DE,00+,540
2021-01-26,DE,00+,1114
2021-01-27,DE,00+,1415
2021-01-28,DE,00+,1480
2021-01-29,DE,00+,1250
2021-01-30,DE,00+,1140
2021-01-31,DE,00+,750
2021-02-01,DE,00+,453
2021-02-02,DE,00+,947
2021-02-03,DE,00+,1248
2021-02-04,DE,00+,1190
2021-02-05,DE,00+,1174
2021-02-06,DE,00+,943
2021-02-07,DE,00+,679
2021-02-08,DE,00+,368
2021-02-09,DE,00+,729
2021-02-10,DE,00+,950
2021-02-11,DE,00+,1005
2021-02-12,DE,00+,869
2021-02-13,DE,00+,813
2021-02-14,DE,00+,510
2021-02-15,DE,00+,388
2021-02-16,DE,00+,677
2021-02-17,DE,00+,970
2021-02-18,DE,00+,915
2021-02-19,DE,00+,895
2021-02-20,DE,00+,749
2021-02-21,DE,00+,620
2021-02-22,DE,00+,332
2021-02-23,DE,00+,668
2021-02-24,DE,00+,903
2021-02-25,DE,00+,910
2021-02-26,DE,00+,815
2021-02-27,DE,00+,732
2021-02-28,DE,00+,570
2021-03-01,DE,00+,279
2021-03-02,DE,00+,612
2021-03-03,DE,00+,862
2021-03-04,DE,00+,803
2021-03-05,DE,00+,707
2021-03-06,DE,00+,669
2021-03-07,DE,00+,547
2021-03-08,DE,00+,261
2021-03-09,DE,00+,552
2021-03-10,DE,00+,888
2021-03-11,DE,00+,839
2021-03-12,DE,00+,880
2021-03-13,DE,00+,765
2021-03-14,DE,00+,653
2021-03-15,DE,00+,373
2021-03-16,DE,00+,695
2021-03-17,DE,00+,1044
2021-03-18,DE,00+,986
2021-03-19,DE,00+,980
2021-03-20,DE,00+,940
2021-03-21,DE,00+,688
2021-03-22,DE,00+,463
2021-03-23,DE,00+,808
2021-03-24,DE,00+,1203
2021-03-25,DE,00+,1249
2021-03-26,DE,00+,1176
2021-03-27,DE,00+,1112
2021-03-28,DE,00+,844
2021-03-29,DE,00+,525
2021-03-30,DE,00+,955
2021-03-31,DE,00+,1299
2021-04-01,DE,00+,1340
2021-04-02,DE,00+,1208
2021-04-03,DE,00+,874
2021-04-04,DE,00+,767
2021-04-05,DE,00+,551
2021-04-06,DE,00+,716
2021-04-07,DE,00+,1127
2021-04-08,DE,00+,1562
2021-04-09,DE,00+,1407
2021-04-10,DE,00+,1292
2021-04-11,DE,00+,913
2021-04-12,DE,00+,630
2021-04-13,DE,00+,1047
2021-04-14,DE,00+,1427
2021-04-15,DE,00+,1412
2021-04-16,DE,00+,1277
2021-04-17,DE,00+,1214
2021-04-18,DE,00+,902
2021-04-19,DE,00+,612
2021-04-20,DE,00+,1128
2021-04-21,DE,00+,1498
2021-04-22,DE,00+,1385
2021-04-23,DE,00+,1340
2021-04-24,DE,00+,1232
2021-04-25,DE,00+,897
2021-04-26,DE,00+,543
2021-04-27,DE,00+,974
2021-04-28,DE,00+,1243
2021-04-29,DE,00+,1202
2021-04-30,DE,00+,1088
2021-05-01,DE,00+,1022
2021-05-02,DE,00+,797
2021-05-03,DE,00+,474
2021-05-04,DE,00+,820
2021-05-05,DE,00+,1035
2021-05-06,DE,00+,1024
2021-05-07,DE,00+,897
2021-05-08,DE,00+,828
2021-05-09,DE,00+,558
2021-05-10,DE,00+,365
2021-05-11,DE,00+,638
2021-05-12,DE,00+,875
2021-05-13,DE,00+,816
