"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00-04",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,140,"COVID-19"
"DE","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,6027,"COVID-19"
"DE","05-14",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,71,"COVID-19"
"DE","15-34",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,451,"COVID-19"
"DE","35-59",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,895,"COVID-19"
"DE","60-79",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,2075,"COVID-19"
"DE","80+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,2414,"COVID-19"
"DE-BB","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,172,"COVID-19"
"DE-BE","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,268,"COVID-19"
"DE-BW","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,430,"COVID-19"
"DE-BY","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,1546,"COVID-19"
"DE-HB","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,21,"COVID-19"
"DE-HE","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,459,"COVID-19"
"DE-HH","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,53,"COVID-19"
"DE-MV","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,70,"COVID-19"
"DE-NI","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,409,"COVID-19"
"DE-NW","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,1617,"COVID-19"
"DE-RP","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,295,"COVID-19"
"DE-SH","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,121,"COVID-19"
"DE-SL","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,85,"COVID-19"
"DE-SN","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,198,"COVID-19"
"DE-ST","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,142,"COVID-19"
"DE-TH","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","mean",NA,142,"COVID-19"
"DE","00-04",2023-03-04,2023-02-04,"-28 day ahead inc hosp","quantile",0.025,138,"COVID-19"
"DE","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","quantile",0.025,5988,"COVID-19"
"DE","05-14",2023-03-04,2023-02-04,"-28 day ahead inc hosp","quantile",0.025,70,"COVID-19"
"DE","15-34",2023-03-04,2023-02-04,"-28 day ahead inc hosp","quantile",0.025,446,"COVID-19"
"DE","35-59",2023-03-04,2023-02-04,"-28 day ahead inc hosp","quantile",0.025,884,"COVID-19"
"DE","60-79",2023-03-04,2023-02-04,"-28 day ahead inc hosp","quantile",0.025,2055,"COVID-19"
"DE","80+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","quantile",0.025,2391,"COVID-19"
"DE-BB","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","quantile",0.025,169,"COVID-19"
"DE-BE","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","quantile",0.025,264,"COVID-19"
"DE-BW","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","quantile",0.025,425,"COVID-19"
"DE-BY","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","quantile",0.025,1536,"COVID-19"
"DE-HB","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","quantile",0.025,21,"COVID-19"
"DE-HE","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","quantile",0.025,454,"COVID-19"
"DE-HH","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","quantile",0.025,51,"COVID-19"
"DE-MV","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","quantile",0.025,70,"COVID-19"
"DE-NI","00+",2023-03-04,2023-02-04,"-28 day ahead inc hosp","quantile",0.025,404,"COVID-19"
