"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00-04",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,177,"COVID-19"
"DE","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,8723,"COVID-19"
"DE","05-14",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,66,"COVID-19"
"DE","15-34",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,484,"COVID-19"
"DE","35-59",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,1150,"COVID-19"
"DE","60-79",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,3078,"COVID-19"
"DE","80+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,3767,"COVID-19"
"DE-BB","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,406,"COVID-19"
"DE-BE","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,369,"COVID-19"
"DE-BW","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,767,"COVID-19"
"DE-BY","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,1331,"COVID-19"
"DE-HB","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,35,"COVID-19"
"DE-HE","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,582,"COVID-19"
"DE-HH","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,166,"COVID-19"
"DE-MV","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,263,"COVID-19"
"DE-NI","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,524,"COVID-19"
"DE-NW","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,2292,"COVID-19"
"DE-RP","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,377,"COVID-19"
"DE-SH","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,348,"COVID-19"
"DE-SL","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,104,"COVID-19"
"DE-SN","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,509,"COVID-19"
"DE-ST","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,346,"COVID-19"
"DE-TH","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","mean",NA,291,"COVID-19"
"DE","00-04",2022-12-03,2022-11-05,"-28 day ahead inc hosp","quantile",0.025,174,"COVID-19"
"DE","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","quantile",0.025,8663,"COVID-19"
"DE","05-14",2022-12-03,2022-11-05,"-28 day ahead inc hosp","quantile",0.025,65,"COVID-19"
"DE","15-34",2022-12-03,2022-11-05,"-28 day ahead inc hosp","quantile",0.025,477,"COVID-19"
"DE","35-59",2022-12-03,2022-11-05,"-28 day ahead inc hosp","quantile",0.025,1138,"COVID-19"
"DE","60-79",2022-12-03,2022-11-05,"-28 day ahead inc hosp","quantile",0.025,3053,"COVID-19"
"DE","80+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","quantile",0.025,3742,"COVID-19"
"DE-BB","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","quantile",0.025,400,"COVID-19"
"DE-BE","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","quantile",0.025,364,"COVID-19"
"DE-BW","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","quantile",0.025,758,"COVID-19"
"DE-BY","00+",2022-12-03,2022-11-05,"-28 day ahead inc hosp","quantile",0.025,1319,"COVID-19"
