"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00-04",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,139,"COVID-19"
"DE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,5307,"COVID-19"
"DE","05-14",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,79,"COVID-19"
"DE","15-34",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,383,"COVID-19"
"DE","35-59",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,754,"COVID-19"
"DE","60-79",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,1818,"COVID-19"
"DE","80+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,2138,"COVID-19"
"DE-BB","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,176,"COVID-19"
"DE-BE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,224,"COVID-19"
"DE-BW","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,420,"COVID-19"
"DE-BY","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,1362,"COVID-19"
"DE-HB","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,13,"COVID-19"
"DE-HE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,373,"COVID-19"
"DE-HH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,62,"COVID-19"
"DE-MV","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,79,"COVID-19"
"DE-NI","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,381,"COVID-19"
"DE-NW","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,1324,"COVID-19"
"DE-RP","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,287,"COVID-19"
"DE-SH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,125,"COVID-19"
"DE-SL","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,61,"COVID-19"
"DE-SN","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,213,"COVID-19"
"DE-ST","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,104,"COVID-19"
"DE-TH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","mean",NA,101,"COVID-19"
"DE","00-04",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,137,"COVID-19"
"DE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,5281,"COVID-19"
"DE","05-14",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,78,"COVID-19"
"DE","15-34",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,379,"COVID-19"
"DE","35-59",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,747,"COVID-19"
"DE","60-79",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,1806,"COVID-19"
"DE","80+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,2125,"COVID-19"
"DE-BB","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,174,"COVID-19"
"DE-BE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,220,"COVID-19"
"DE-BW","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,416,"COVID-19"
"DE-BY","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,1355,"COVID-19"
"DE-HB","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,13,"COVID-19"
"DE-HE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,370,"COVID-19"
"DE-HH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,60,"COVID-19"
"DE-MV","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,79,"COVID-19"
"DE-NI","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,376,"COVID-19"
"DE-NW","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,1314,"COVID-19"
"DE-RP","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,283,"COVID-19"
"DE-SH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,124,"COVID-19"
"DE-SL","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,60,"COVID-19"
"DE-SN","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,210,"COVID-19"
"DE-ST","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,104,"COVID-19"
"DE-TH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.025,101,"COVID-19"
"DE","00-04",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,137,"COVID-19"
"DE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,5288,"COVID-19"
"DE","05-14",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,78,"COVID-19"
"DE","15-34",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,380,"COVID-19"
"DE","35-59",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,749,"COVID-19"
"DE","60-79",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,1809,"COVID-19"
"DE","80+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,2129,"COVID-19"
"DE-BB","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,174,"COVID-19"
"DE-BE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,221,"COVID-19"
"DE-BW","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,417,"COVID-19"
"DE-BY","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,1356,"COVID-19"
"DE-HB","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,13,"COVID-19"
"DE-HE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,371,"COVID-19"
"DE-HH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,60,"COVID-19"
"DE-MV","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,79,"COVID-19"
"DE-NI","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,378,"COVID-19"
"DE-NW","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,1317,"COVID-19"
"DE-RP","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,284,"COVID-19"
"DE-SH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,124,"COVID-19"
"DE-SL","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,60,"COVID-19"
"DE-SN","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,210,"COVID-19"
"DE-ST","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,104,"COVID-19"
"DE-TH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.1,101,"COVID-19"
"DE","00-04",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,138,"COVID-19"
"DE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,5296,"COVID-19"
"DE","05-14",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,78,"COVID-19"
"DE","15-34",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,381,"COVID-19"
"DE","35-59",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,751,"COVID-19"
"DE","60-79",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,1813,"COVID-19"
"DE","80+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,2133,"COVID-19"
"DE-BB","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,175,"COVID-19"
"DE-BE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,222,"COVID-19"
"DE-BW","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,418,"COVID-19"
"DE-BY","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,1358,"COVID-19"
"DE-HB","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,13,"COVID-19"
"DE-HE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,372,"COVID-19"
"DE-HH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,61,"COVID-19"
"DE-MV","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,79,"COVID-19"
"DE-NI","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,379,"COVID-19"
"DE-NW","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,1320,"COVID-19"
"DE-RP","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,285,"COVID-19"
"DE-SH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,124,"COVID-19"
"DE-SL","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,60,"COVID-19"
"DE-SN","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,211,"COVID-19"
"DE-ST","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,104,"COVID-19"
"DE-TH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.25,101,"COVID-19"
"DE","00-04",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,138,"COVID-19"
"DE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,5306,"COVID-19"
"DE","05-14",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,79,"COVID-19"
"DE","15-34",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,382,"COVID-19"
"DE","35-59",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,753,"COVID-19"
"DE","60-79",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,1817,"COVID-19"
"DE","80+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,2138,"COVID-19"
"DE-BB","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,176,"COVID-19"
"DE-BE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,223,"COVID-19"
"DE-BW","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,420,"COVID-19"
"DE-BY","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,1361,"COVID-19"
"DE-HB","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,13,"COVID-19"
"DE-HE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,373,"COVID-19"
"DE-HH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,62,"COVID-19"
"DE-MV","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,79,"COVID-19"
"DE-NI","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,380,"COVID-19"
"DE-NW","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,1324,"COVID-19"
"DE-RP","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,287,"COVID-19"
"DE-SH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,125,"COVID-19"
"DE-SL","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,60,"COVID-19"
"DE-SN","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,212,"COVID-19"
"DE-ST","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,104,"COVID-19"
"DE-TH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.5,101,"COVID-19"
"DE","00-04",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,139,"COVID-19"
"DE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,5316,"COVID-19"
"DE","05-14",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,80,"COVID-19"
"DE","15-34",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,385,"COVID-19"
"DE","35-59",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,756,"COVID-19"
"DE","60-79",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,1822,"COVID-19"
"DE","80+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,2143,"COVID-19"
"DE-BB","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,178,"COVID-19"
"DE-BE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,225,"COVID-19"
"DE-BW","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,422,"COVID-19"
"DE-BY","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,1366,"COVID-19"
"DE-HB","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,20,"COVID-19"
"DE-HE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,375,"COVID-19"
"DE-HH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,63,"COVID-19"
"DE-MV","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,79,"COVID-19"
"DE-NI","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,383,"COVID-19"
"DE-NW","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,1328,"COVID-19"
"DE-RP","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,289,"COVID-19"
"DE-SH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,125,"COVID-19"
"DE-SL","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,61,"COVID-19"
"DE-SN","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,214,"COVID-19"
"DE-ST","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,104,"COVID-19"
"DE-TH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.75,102,"COVID-19"
"DE","00-04",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,141,"COVID-19"
"DE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,5329,"COVID-19"
"DE","05-14",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,80,"COVID-19"
"DE","15-34",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,388,"COVID-19"
"DE","35-59",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,759,"COVID-19"
"DE","60-79",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,1828,"COVID-19"
"DE","80+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,2148,"COVID-19"
"DE-BB","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,180,"COVID-19"
"DE-BE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,227,"COVID-19"
"DE-BW","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,423,"COVID-19"
"DE-BY","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,1370,"COVID-19"
"DE-HB","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,24,"COVID-19"
"DE-HE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,377,"COVID-19"
"DE-HH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,64,"COVID-19"
"DE-MV","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,81,"COVID-19"
"DE-NI","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,385,"COVID-19"
"DE-NW","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,1333,"COVID-19"
"DE-RP","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,292,"COVID-19"
"DE-SH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,126,"COVID-19"
"DE-SL","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,62,"COVID-19"
"DE-SN","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,216,"COVID-19"
"DE-ST","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,105,"COVID-19"
"DE-TH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.9,102,"COVID-19"
"DE","00-04",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.975,142,"COVID-19"
"DE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.975,5342,"COVID-19"
"DE","05-14",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.975,83,"COVID-19"
"DE","15-34",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.975,390,"COVID-19"
"DE","35-59",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.975,763,"COVID-19"
"DE","60-79",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.975,1834,"COVID-19"
"DE","80+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.975,2154,"COVID-19"
"DE-BB","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.975,182,"COVID-19"
"DE-BE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.975,229,"COVID-19"
"DE-BW","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.975,428,"COVID-19"
"DE-BY","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.975,1377,"COVID-19"
"DE-HB","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.975,28,"COVID-19"
"DE-HE","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.975,381,"COVID-19"
"DE-HH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.975,67,"COVID-19"
"DE-MV","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.975,92,"COVID-19"
"DE-NI","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.975,390,"COVID-19"
"DE-NW","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.975,1339,"COVID-19"
"DE-RP","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.975,295,"COVID-19"
"DE-SH","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.975,128,"COVID-19"
"DE-SL","00+",2023-02-28,2023-01-31,"-28 day ahead inc hosp","quantile",0.975,62,"COVID-19"
