"","location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"438","DE","00-04",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,57,"COVID-19"
"439","DE","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,3621,"COVID-19"
"440","DE","05-14",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,57,"COVID-19"
"441","DE","15-34",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,438,"COVID-19"
"442","DE","35-59",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,982,"COVID-19"
"443","DE","60-79",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,1126,"COVID-19"
"444","DE","80+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,989,"COVID-19"
"445","DE-BB","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,84,"COVID-19"
"446","DE-BE","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,177,"COVID-19"
"447","DE-BW","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,622,"COVID-19"
"448","DE-BY","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,749,"COVID-19"
"449","DE-HB","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,35,"COVID-19"
"450","DE-HE","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,237,"COVID-19"
"451","DE-HH","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,63,"COVID-19"
"452","DE-MV","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,56,"COVID-19"
"453","DE-NI","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,194,"COVID-19"
"454","DE-NW","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,689,"COVID-19"
"455","DE-RP","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,151,"COVID-19"
"456","DE-SH","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,70,"COVID-19"
"457","DE-SL","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,21,"COVID-19"
"458","DE-SN","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,212,"COVID-19"
"459","DE-ST","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,77,"COVID-19"
"460","DE-TH","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,199,"COVID-19"
"1059","DE","00-04",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,55,"COVID-19"
"1060","DE","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,3594,"COVID-19"
"1061","DE","05-14",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,55,"COVID-19"
"1062","DE","15-34",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,432,"COVID-19"
"1063","DE","35-59",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,969,"COVID-19"
"1064","DE","60-79",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,1112,"COVID-19"
"1065","DE","80+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,976,"COVID-19"
"1066","DE-BB","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,83,"COVID-19"
"1067","DE-BE","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,175,"COVID-19"
"1068","DE-BW","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,615,"COVID-19"
"1069","DE-BY","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,738,"COVID-19"
"1070","DE-HB","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,34,"COVID-19"
"1071","DE-HE","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,233,"COVID-19"
"1072","DE-HH","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,60,"COVID-19"
"1073","DE-MV","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,55,"COVID-19"
"1074","DE-NI","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,192,"COVID-19"
"1075","DE-NW","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,679,"COVID-19"
"1076","DE-RP","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,148,"COVID-19"
"1077","DE-SH","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,69,"COVID-19"
"1078","DE-SL","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,21,"COVID-19"
"1079","DE-SN","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,211,"COVID-19"
"1080","DE-ST","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,76,"COVID-19"
"1081","DE-TH","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,196,"COVID-19"
"1680","DE","00-04",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,55,"COVID-19"
"1681","DE","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,3599,"COVID-19"
"1682","DE","05-14",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,56,"COVID-19"
"1683","DE","15-34",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,434,"COVID-19"
"1684","DE","35-59",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,972,"COVID-19"
"1685","DE","60-79",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,1114,"COVID-19"
"1686","DE","80+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,979,"COVID-19"
"1687","DE-BB","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,83,"COVID-19"
"1688","DE-BE","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,175,"COVID-19"
"1689","DE-BW","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,617,"COVID-19"
"1690","DE-BY","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,740,"COVID-19"
"1691","DE-HB","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,34,"COVID-19"
"1692","DE-HE","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,234,"COVID-19"
"1693","DE-HH","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,61,"COVID-19"
"1694","DE-MV","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,55,"COVID-19"
"1695","DE-NI","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,192,"COVID-19"
"1696","DE-NW","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,682,"COVID-19"
"1697","DE-RP","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,149,"COVID-19"
"1698","DE-SH","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,69,"COVID-19"
"1699","DE-SL","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,21,"COVID-19"
"1700","DE-SN","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,211,"COVID-19"
"1701","DE-ST","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,76,"COVID-19"
"1702","DE-TH","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.1,197,"COVID-19"
"2301","DE","00-04",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.25,56,"COVID-19"
"2302","DE","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.25,3605,"COVID-19"
"2303","DE","05-14",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.25,56,"COVID-19"
"2304","DE","15-34",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.25,435,"COVID-19"
"2305","DE","35-59",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.25,976,"COVID-19"
"2306","DE","60-79",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.25,1118,"COVID-19"
