"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00-04",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,174,"COVID-19"
"DE","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,9165,"COVID-19"
"DE","05-14",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,56,"COVID-19"
"DE","15-34",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,589,"COVID-19"
"DE","35-59",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,1335,"COVID-19"
"DE","60-79",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,3206,"COVID-19"
"DE","80+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,3808,"COVID-19"
"DE-BB","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,248,"COVID-19"
"DE-BE","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,346,"COVID-19"
"DE-BW","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,791,"COVID-19"
"DE-BY","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,2302,"COVID-19"
"DE-HB","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,52,"COVID-19"
"DE-HE","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,706,"COVID-19"
"DE-HH","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,94,"COVID-19"
"DE-MV","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,75,"COVID-19"
"DE-NI","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,508,"COVID-19"
"DE-NW","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,2502,"COVID-19"
"DE-RP","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,500,"COVID-19"
"DE-SH","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,216,"COVID-19"
"DE-SL","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,85,"COVID-19"
"DE-SN","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,309,"COVID-19"
"DE-ST","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,165,"COVID-19"
"DE-TH","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","mean",NA,258,"COVID-19"
"DE","00-04",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,172,"COVID-19"
"DE","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,9104,"COVID-19"
"DE","05-14",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,55,"COVID-19"
"DE","15-34",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,582,"COVID-19"
"DE","35-59",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,1323,"COVID-19"
"DE","60-79",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,3180,"COVID-19"
"DE","80+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,3781,"COVID-19"
"DE-BB","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,243,"COVID-19"
"DE-BE","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,334,"COVID-19"
"DE-BW","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,785,"COVID-19"
"DE-BY","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,2291,"COVID-19"
"DE-HB","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,52,"COVID-19"
"DE-HE","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,701,"COVID-19"
"DE-HH","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,90,"COVID-19"
"DE-MV","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,75,"COVID-19"
"DE-NI","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,504,"COVID-19"
"DE-NW","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,2476,"COVID-19"
"DE-RP","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,486,"COVID-19"
"DE-SH","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,213,"COVID-19"
"DE-SL","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,84,"COVID-19"
"DE-SN","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,306,"COVID-19"
"DE-ST","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,164,"COVID-19"
"DE-TH","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.025,257,"COVID-19"
"DE","00-04",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.1,172,"COVID-19"
"DE","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.1,9119,"COVID-19"
"DE","05-14",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.1,55,"COVID-19"
"DE","15-34",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.1,583,"COVID-19"
"DE","35-59",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.1,1326,"COVID-19"
"DE","60-79",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.1,3187,"COVID-19"
"DE","80+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.1,3789,"COVID-19"
"DE-BB","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.1,244,"COVID-19"
"DE-BE","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.1,337,"COVID-19"
"DE-BW","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.1,787,"COVID-19"
"DE-BY","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.1,2293,"COVID-19"
"DE-HB","00+",2023-03-18,2023-02-18,"-28 day ahead inc hosp","quantile",0.1,52,"COVID-19"
