"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00-04",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,165,"COVID-19"
"DE","00+",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,4280,"COVID-19"
"DE","05-14",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,48,"COVID-19"
"DE","15-34",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,327,"COVID-19"
"DE","35-59",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,634,"COVID-19"
"DE","60-79",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,1467,"COVID-19"
"DE","80+",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,1638,"COVID-19"
"DE-BB","00+",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,147,"COVID-19"
"DE-BE","00+",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,126,"COVID-19"
"DE-BW","00+",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,314,"COVID-19"
"DE-BY","00+",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,790,"COVID-19"
"DE-HB","00+",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,29,"COVID-19"
"DE-HE","00+",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,252,"COVID-19"
"DE-HH","00+",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,81,"COVID-19"
"DE-MV","00+",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,151,"COVID-19"
"DE-NI","00+",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,253,"COVID-19"
"DE-NW","00+",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,1105,"COVID-19"
"DE-RP","00+",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,254,"COVID-19"
"DE-SH","00+",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,145,"COVID-19"
"DE-SL","00+",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,59,"COVID-19"
"DE-SN","00+",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,253,"COVID-19"
"DE-ST","00+",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,149,"COVID-19"
"DE-TH","00+",2022-10-11,2022-09-13,"-28 day ahead inc hosp","mean",NA,153,"COVID-19"
"DE","00-04",2022-10-11,2022-09-13,"-28 day ahead inc hosp","quantile",0.025,162,"COVID-19"
