"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00-04",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,216,"COVID-19"
"DE","00+",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,7167,"COVID-19"
"DE","05-14",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,99,"COVID-19"
"DE","15-34",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,730,"COVID-19"
"DE","35-59",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,1246,"COVID-19"
"DE","60-79",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,2272,"COVID-19"
"DE","80+",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,2588,"COVID-19"
"DE-BB","00+",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,169,"COVID-19"
"DE-BE","00+",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,121,"COVID-19"
"DE-BW","00+",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,796,"COVID-19"
"DE-BY","00+",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,1293,"COVID-19"
"DE-HB","00+",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,14,"COVID-19"
"DE-HE","00+",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,513,"COVID-19"
"DE-HH","00+",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,144,"COVID-19"
"DE-MV","00+",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,242,"COVID-19"
"DE-NI","00+",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,489,"COVID-19"
"DE-NW","00+",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,1747,"COVID-19"
"DE-RP","00+",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,458,"COVID-19"
"DE-SH","00+",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,294,"COVID-19"
"DE-SL","00+",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,63,"COVID-19"
"DE-SN","00+",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,277,"COVID-19"
"DE-ST","00+",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,254,"COVID-19"
"DE-TH","00+",2022-05-26,2022-04-28,"-28 day ahead inc hosp","mean",NA,234,"COVID-19"
"DE","00-04",2022-05-26,2022-04-28,"-28 day ahead inc hosp","quantile",0.025,211,"COVID-19"
"DE","00+",2022-05-26,2022-04-28,"-28 day ahead inc hosp","quantile",0.025,7059,"COVID-19"
