"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00-04",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,393,"COVID-19"
"DE","00+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,9373,"COVID-19"
"DE","05-14",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,429,"COVID-19"
"DE","15-34",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,1488,"COVID-19"
"DE","35-59",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,2063,"COVID-19"
"DE","60-79",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,2501,"COVID-19"
"DE","80+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,2488,"COVID-19"
"DE-BB","00+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,205,"COVID-19"
"DE-BE","00+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,247,"COVID-19"
"DE-BW","00+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,1383,"COVID-19"
"DE-BY","00+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,1641,"COVID-19"
"DE-HB","00+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,33,"COVID-19"
"DE-HE","00+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,854,"COVID-19"
"DE-HH","00+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,256,"COVID-19"
"DE-MV","00+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,247,"COVID-19"
"DE-NI","00+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,598,"COVID-19"
"DE-NW","00+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,2272,"COVID-19"
"DE-RP","00+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,504,"COVID-19"
"DE-SH","00+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,264,"COVID-19"
"DE-SL","00+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,74,"COVID-19"
"DE-SN","00+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,283,"COVID-19"
"DE-ST","00+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,246,"COVID-19"
"DE-TH","00+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","mean",NA,203,"COVID-19"
"DE","00-04",2022-03-05,2022-02-05,"-28 day ahead inc hosp","quantile",0.025,386,"COVID-19"
"DE","00+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","quantile",0.025,9256,"COVID-19"
"DE","05-14",2022-03-05,2022-02-05,"-28 day ahead inc hosp","quantile",0.025,420,"COVID-19"
"DE","15-34",2022-03-05,2022-02-05,"-28 day ahead inc hosp","quantile",0.025,1465,"COVID-19"
"DE","35-59",2022-03-05,2022-02-05,"-28 day ahead inc hosp","quantile",0.025,2030,"COVID-19"
"DE","60-79",2022-03-05,2022-02-05,"-28 day ahead inc hosp","quantile",0.025,2465,"COVID-19"
"DE","80+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","quantile",0.025,2450,"COVID-19"
"DE-BB","00+",2022-03-05,2022-02-05,"-28 day ahead inc hosp","quantile",0.025,202,"COVID-19"
