forecast_date,target,target_end_date,location,age_group,type,quantile,value,pathogen
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,00-04,quantile,0.975,23,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,00+,quantile,0.025,1292,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,00+,quantile,0.1,1302,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,00+,quantile,0.25,1315,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,00+,quantile,0.5,1333,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,00+,quantile,0.75,1357,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,00+,quantile,0.9,1385,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,00+,quantile,0.975,1426,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,05-14,quantile,0.025,28,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,05-14,quantile,0.1,28,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,05-14,quantile,0.25,28,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,05-14,quantile,0.5,28,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,05-14,quantile,0.75,30,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,05-14,quantile,0.9,32,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,05-14,quantile,0.975,35,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,15-34,quantile,0.025,168,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,15-34,quantile,0.1,168,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,15-34,quantile,0.25,168,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,15-34,quantile,0.5,168,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,15-34,quantile,0.75,171,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,15-34,quantile,0.9,176,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,15-34,quantile,0.975,184,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,35-59,quantile,0.025,438,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,35-59,quantile,0.1,442,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,35-59,quantile,0.25,447,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,35-59,quantile,0.5,453,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,35-59,quantile,0.75,460,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,35-59,quantile,0.9,469,COVID-19
2021-07-01,-27 day ahead inc hosp,2021-06-04,DE,35-59,quantile,0.975,482,COVID-19
