date,location,age_group,value
2021-04-15,GM,00-04,77
2021-04-15,GM,00+,3754
2021-04-15,GM,05-14,59
2021-04-15,GM,15-34,469
2021-04-15,GM,35-59,1026
2021-04-15,GM,60-79,1363
2021-04-15,GM,80+,760
2021-04-15,GM10,00-04,1
2021-04-15,GM10,00+,64
2021-04-15,GM10,05-14,4
2021-04-15,GM10,15-34,11
2021-04-15,GM10,35-59,17
2021-04-15,GM10,60-79,17
2021-04-15,GM10,80+,14
2021-04-15,GM04,00-04,0
2021-04-15,GM04,00+,19
2021-04-15,GM04,05-14,0
2021-04-15,GM04,15-34,8
2021-04-15,GM04,35-59,2
2021-04-15,GM04,60-79,7
2021-04-15,GM04,80+,2
2021-04-15,GM06,00-04,7
2021-04-15,GM06,00+,241
2021-04-15,GM06,05-14,5
2021-04-15,GM06,15-34,36
2021-04-15,GM06,35-59,85
2021-04-15,GM06,60-79,75
2021-04-15,GM06,80+,33
2021-04-15,GM03,00-04,2
2021-04-15,GM03,00+,42
2021-04-15,GM03,05-14,0
2021-04-15,GM03,15-34,3
2021-04-15,GM03,35-59,17
2021-04-15,GM03,60-79,15
2021-04-15,GM03,80+,5
2021-04-15,GM07,00-04,14
2021-04-15,GM07,00+,752
2021-04-15,GM07,05-14,16
2021-04-15,GM07,15-34,116
2021-04-15,GM07,35-59,220
2021-04-15,GM07,60-79,264
2021-04-15,GM07,80+,122
2021-04-15,GM05,00-04,13
2021-04-15,GM05,00+,341
2021-04-15,GM05,05-14,6
2021-04-15,GM05,15-34,38
2021-04-15,GM05,35-59,110
2021-04-15,GM05,60-79,101
2021-04-15,GM05,80+,73
2021-04-15,GM08,00-04,4
2021-04-15,GM08,00+,131
2021-04-15,GM08,05-14,0
2021-04-15,GM08,15-34,21
2021-04-15,GM08,35-59,30
2021-04-15,GM08,60-79,43
2021-04-15,GM08,80+,33
2021-04-15,GM01,00-04,14
2021-04-15,GM01,00+,515
2021-04-15,GM01,05-14,8
2021-04-15,GM01,15-34,88
2021-04-15,GM01,35-59,159
2021-04-15,GM01,60-79,173
2021-04-15,GM01,80+,73
2021-04-15,GM02,00-04,12
2021-04-15,GM02,00+,553
2021-04-15,GM02,05-14,11
2021-04-15,GM02,15-34,72
2021-04-15,GM02,35-59,142
2021-04-15,GM02,60-79,193
2021-04-15,GM02,80+,123
2021-04-15,GM09,00-04,1
2021-04-15,GM09,00+,29
2021-04-15,GM09,05-14,0
2021-04-15,GM09,15-34,3
2021-04-15,GM09,35-59,7
2021-04-15,GM09,60-79,11
2021-04-15,GM09,80+,7
2021-04-15,GM16,00-04,1
2021-04-15,GM16,00+,126
2021-04-15,GM16,05-14,2
2021-04-15,GM16,15-34,17
2021-04-15,GM16,35-59,47
2021-04-15,GM16,60-79,40
2021-04-15,GM16,80+,19
2021-04-15,GM11,00-04,2
2021-04-15,GM11,00+,142
2021-04-15,GM11,05-14,1
2021-04-15,GM11,15-34,3
2021-04-15,GM11,35-59,29
2021-04-15,GM11,60-79,61
2021-04-15,GM11,80+,46
2021-04-15,GM12,00-04,0
2021-04-15,GM12,00+,104
2021-04-15,GM12,05-14,2
2021-04-15,GM12,15-34,9
2021-04-15,GM12,35-59,27
2021-04-15,GM12,60-79,45
2021-04-15,GM12,80+,21
2021-04-15,GM13,00-04,3
2021-04-15,GM13,00+,302
2021-04-15,GM13,05-14,0
2021-04-15,GM13,15-34,22
2021-04-15,GM13,35-59,57
2021-04-15,GM13,60-79,134
2021-04-15,GM13,80+,86
2021-04-15,GM14,00-04,2
2021-04-15,GM14,00+,152
2021-04-15,GM14,05-14,2
2021-04-15,GM14,15-34,10
2021-04-15,GM14,35-59,32
2021-04-15,GM14,60-79,64
2021-04-15,GM14,80+,42
2021-04-15,GM15,00-04,1
2021-04-15,GM15,00+,241
2021-04-15,GM15,05-14,2
2021-04-15,GM15,15-34,12
2021-04-15,GM15,35-59,45
2021-04-15,GM15,60-79,120
2021-04-15,GM15,80+,61
2021-04-14,GM,00-04,87
2021-04-14,GM,00+,4479
2021-04-14,GM,05-14,67
2021-04-14,GM,15-34,515
2021-04-14,GM,35-59,1294
2021-04-14,GM,60-79,1611
2021-04-14,GM,80+,905
2021-04-14,GM10,00-04,1
2021-04-14,GM10,00+,72
2021-04-14,GM10,05-14,4
2021-04-14,GM10,15-34,11
2021-04-14,GM10,35-59,23
2021-04-14,GM10,60-79,19
2021-04-14,GM10,80+,14
2021-04-14,GM04,00-04,0
2021-04-14,GM04,00+,23
2021-04-14,GM04,05-14,0
2021-04-14,GM04,15-34,8
2021-04-14,GM04,35-59,2
2021-04-14,GM04,60-79,8
2021-04-14,GM04,80+,5
2021-04-14,GM06,00-04,7
2021-04-14,GM06,00+,279
2021-04-14,GM06,05-14,4
2021-04-14,GM06,15-34,35
2021-04-14,GM06,35-59,101
2021-04-14,GM06,60-79,93
2021-04-14,GM06,80+,39
2021-04-14,GM03,00-04,0
2021-04-14,GM03,00+,47
2021-04-14,GM03,05-14,0
2021-04-14,GM03,15-34,4
2021-04-14,GM03,35-59,22
2021-04-14,GM03,60-79,16
2021-04-14,GM03,80+,5
2021-04-14,GM07,00-04,15
2021-04-14,GM07,00+,817
2021-04-14,GM07,05-14,14
2021-04-14,GM07,15-34,121
2021-04-14,GM07,35-59,241
2021-04-14,GM07,60-79,283
2021-04-14,GM07,80+,143
2021-04-14,GM05,00-04,12
2021-04-14,GM05,00+,390
2021-04-14,GM05,05-14,8
2021-04-14,GM05,15-34,33
2021-04-14,GM05,35-59,128
2021-04-14,GM05,60-79,124
2021-04-14,GM05,80+,85
2021-04-14,GM08,00-04,3
2021-04-14,GM08,00+,155
2021-04-14,GM08,05-14,0
2021-04-14,GM08,15-34,20
2021-04-14,GM08,35-59,45
2021-04-14,GM08,60-79,50
2021-04-14,GM08,80+,37
2021-04-14,GM01,00-04,15
2021-04-14,GM01,00+,595
2021-04-14,GM01,05-14,5
2021-04-14,GM01,15-34,90
2021-04-14,GM01,35-59,185
2021-04-14,GM01,60-79,206
2021-04-14,GM01,80+,94
2021-04-14,GM02,00-04,13
2021-04-14,GM02,00+,669
2021-04-14,GM02,05-14,12
2021-04-14,GM02,15-34,77
2021-04-14,GM02,35-59,186
2021-04-14,GM02,60-79,237
2021-04-14,GM02,80+,144
2021-04-14,GM09,00-04,2
2021-04-14,GM09,00+,41
2021-04-14,GM09,05-14,0
2021-04-14,GM09,15-34,4
2021-04-14,GM09,35-59,10
2021-04-14,GM09,60-79,13
2021-04-14,GM09,80+,12
2021-04-14,GM16,00-04,3
2021-04-14,GM16,00+,175
2021-04-14,GM16,05-14,2
2021-04-14,GM16,15-34,19
2021-04-14,GM16,35-59,66
2021-04-14,GM16,60-79,59
2021-04-14,GM16,80+,26
2021-04-14,GM11,00-04,2
2021-04-14,GM11,00+,159
2021-04-14,GM11,05-14,2
2021-04-14,GM11,15-34,4
2021-04-14,GM11,35-59,29
2021-04-14,GM11,60-79,64
2021-04-14,GM11,80+,58
2021-04-14,GM12,00-04,4
2021-04-14,GM12,00+,223
2021-04-14,GM12,05-14,9
2021-04-14,GM12,15-34,32
2021-04-14,GM12,35-59,79
2021-04-14,GM12,60-79,70
2021-04-14,GM12,80+,29
2021-04-14,GM13,00-04,3
2021-04-14,GM13,00+,379
2021-04-14,GM13,05-14,1
2021-04-14,GM13,15-34,30
2021-04-14,GM13,35-59,81
2021-04-14,GM13,60-79,162
2021-04-14,GM13,80+,102
2021-04-14,GM14,00-04,3
2021-04-14,GM14,00+,175
2021-04-14,GM14,05-14,2
2021-04-14,GM14,15-34,11
2021-04-14,GM14,35-59,37
2021-04-14,GM14,60-79,77
2021-04-14,GM14,80+,45
2021-04-14,GM15,00-04,4
2021-04-14,GM15,00+,280
2021-04-14,GM15,05-14,4
2021-04-14,GM15,15-34,16
2021-04-14,GM15,35-59,59
