location,age_group,date,value
DE-HB,00+,2020-03-08,0
DE-HB,00+,2020-03-09,0
DE-HB,00+,2020-03-10,0
DE-HB,00+,2020-03-11,1
DE-HB,00-04,2020-03-06,0
DE-HB,00-04,2020-03-07,0
DE-HB,00-04,2020-03-08,0
DE-HB,00-04,2020-03-09,0
DE-HB,00-04,2020-03-10,0
DE-HB,00-04,2020-03-11,0
DE-HB,05-14,2020-03-06,0
DE-HB,05-14,2020-03-07,0
DE-HB,05-14,2020-03-08,0
DE-HB,05-14,2020-03-09,0
DE-HB,05-14,2020-03-10,0
DE-HB,05-14,2020-03-11,0
DE-HB,15-34,2020-03-06,0
DE-HB,15-34,2020-03-07,0
DE-HB,15-34,2020-03-08,0
DE-HB,15-34,2020-03-09,0
DE-HB,15-34,2020-03-10,0
DE-HB,15-34,2020-03-11,0
DE-HB,35-59,2020-03-06,0
DE-HB,35-59,2020-03-07,0
DE-HB,35-59,2020-03-08,0
DE-HB,35-59,2020-03-09,0
DE-HB,35-59,2020-03-10,0
DE-HB,35-59,2020-03-11,0
DE-HB,60-79,2020-03-06,0
DE-HB,60-79,2020-03-07,0
DE-HB,60-79,2020-03-08,0
DE-HB,60-79,2020-03-09,0
DE-HB,60-79,2020-03-10,0
DE-HB,60-79,2020-03-11,1
DE-HB,80+,2020-03-06,0
DE-HB,80+,2020-03-07,0
DE-HB,80+,2020-03-08,0
DE-HB,80+,2020-03-09,0
DE-HB,80+,2020-03-10,0
DE-HB,80+,2020-03-11,0
DE-HE,00+,2020-03-06,1
DE-HE,00+,2020-03-07,0
DE-HE,00+,2020-03-08,1
DE-HE,00+,2020-03-09,0
DE-HE,00+,2020-03-10,1
DE-HE,00+,2020-03-11,2
DE-HE,00-04,2020-03-06,0
DE-HE,00-04,2020-03-07,0
DE-HE,00-04,2020-03-08,0
DE-HE,00-04,2020-03-09,0
DE-HE,00-04,2020-03-10,0
DE-HE,00-04,2020-03-11,0
DE-HE,05-14,2020-03-06,0
DE-HE,05-14,2020-03-07,0
DE-HE,05-14,2020-03-08,0
DE-HE,05-14,2020-03-09,0
DE-HE,05-14,2020-03-10,0
DE-HE,05-14,2020-03-11,0
DE-HE,15-34,2020-03-06,0
DE-HE,15-34,2020-03-07,0
DE-HE,15-34,2020-03-08,0
DE-HE,15-34,2020-03-09,0
DE-HE,15-34,2020-03-10,0
DE-HE,15-34,2020-03-11,1
DE-HE,35-59,2020-03-06,1
DE-HE,35-59,2020-03-07,0
DE-HE,35-59,2020-03-08,1
DE-HE,35-59,2020-03-09,0
DE-HE,35-59,2020-03-10,1
DE-HE,35-59,2020-03-11,1
DE-HE,60-79,2020-03-06,0
DE-HE,60-79,2020-03-07,0
DE-HE,60-79,2020-03-08,0
DE-HE,60-79,2020-03-09,0
DE-HE,60-79,2020-03-10,0
DE-HE,60-79,2020-03-11,0
DE-HE,80+,2020-03-06,0
DE-HE,80+,2020-03-07,0
DE-HE,80+,2020-03-08,0
DE-HE,80+,2020-03-09,0
DE-HE,80+,2020-03-10,0
DE-HE,80+,2020-03-11,0
DE-HH,00+,2020-03-06,0
DE-HH,00+,2020-03-07,1
DE-HH,00+,2020-03-08,0
DE-HH,00+,2020-03-09,0
DE-HH,00+,2020-03-10,2
DE-HH,00+,2020-03-11,2
DE-HH,00-04,2020-03-06,0
DE-HH,00-04,2020-03-07,0
DE-HH,00-04,2020-03-08,0
DE-HH,00-04,2020-03-09,0
DE-HH,00-04,2020-03-10,0
DE-HH,00-04,2020-03-11,0
DE-HH,05-14,2020-03-06,0
DE-HH,05-14,2020-03-07,0
DE-HH,05-14,2020-03-08,0
DE-HH,05-14,2020-03-09,0
DE-HH,05-14,2020-03-10,0
DE-HH,05-14,2020-03-11,0
DE-HH,15-34,2020-03-06,0
DE-HH,15-34,2020-03-07,0
DE-HH,15-34,2020-03-08,0
DE-HH,15-34,2020-03-09,0
DE-HH,15-34,2020-03-10,0
DE-HH,15-34,2020-03-11,0
DE-HH,35-59,2020-03-06,0
DE-HH,35-59,2020-03-07,0
DE-HH,35-59,2020-03-08,0
DE-HH,35-59,2020-03-09,0
DE-HH,35-59,2020-03-10,0
DE-HH,35-59,2020-03-11,1
DE-HH,60-79,2020-03-06,0
DE-HH,60-79,2020-03-07,1
DE-HH,60-79,2020-03-08,0
DE-HH,60-79,2020-03-09,0
DE-HH,60-79,2020-03-10,0
DE-HH,60-79,2020-03-11,0
DE-HH,80+,2020-03-06,0
DE-HH,80+,2020-03-07,0
DE-HH,80+,2020-03-08,0
DE-HH,80+,2020-03-09,0
DE-HH,80+,2020-03-10,2
DE-HH,80+,2020-03-11,1
DE-MV,00+,2020-03-06,0
DE-MV,00+,2020-03-07,0
DE-MV,00+,2020-03-08,0
DE-MV,00+,2020-03-09,1
DE-MV,00+,2020-03-10,0
DE-MV,00+,2020-03-11,0
DE-MV,00-04,2020-03-06,0
DE-MV,00-04,2020-03-07,0
DE-MV,00-04,2020-03-08,0
DE-MV,00-04,2020-03-09,0
DE-MV,00-04,2020-03-10,0
DE-MV,00-04,2020-03-11,0
DE-MV,05-14,2020-03-06,0
DE-MV,05-14,2020-03-07,0
DE-MV,05-14,2020-03-08,0
DE-MV,05-14,2020-03-09,0
DE-MV,05-14,2020-03-10,0
DE-MV,05-14,2020-03-11,0
DE-MV,15-34,2020-03-06,0
DE-MV,15-34,2020-03-07,0
DE-MV,15-34,2020-03-08,0
DE-MV,15-34,2020-03-09,0
DE-MV,15-34,2020-03-10,0
DE-MV,15-34,2020-03-11,0
DE-MV,35-59,2020-03-06,0
DE-MV,35-59,2020-03-07,0
DE-MV,35-59,2020-03-08,0
DE-MV,35-59,2020-03-09,0
DE-MV,35-59,2020-03-10,0
DE-MV,35-59,2020-03-11,0
DE-MV,60-79,2020-03-06,0
DE-MV,60-79,2020-03-07,0
DE-MV,60-79,2020-03-08,0
DE-MV,60-79,2020-03-09,1
DE-MV,60-79,2020-03-10,0
DE-MV,60-79,2020-03-11,0
DE-MV,80+,2020-03-06,0
DE-MV,80+,2020-03-07,0
DE-MV,80+,2020-03-08,0
DE-MV,80+,2020-03-09,0
DE-MV,80+,2020-03-10,0
DE-MV,80+,2020-03-11,0
DE-NI,00+,2020-03-06,1
DE-NI,00+,2020-03-07,2
DE-NI,00+,2020-03-08,1
DE-NI,00+,2020-03-09,0
DE-NI,00+,2020-03-10,0
DE-NI,00+,2020-03-11,3
DE-NI,00-04,2020-03-06,0
DE-NI,00-04,2020-03-07,0
DE-NI,00-04,2020-03-08,0
DE-NI,00-04,2020-03-09,0
DE-NI,00-04,2020-03-10,0
DE-NI,00-04,2020-03-11,0
DE-NI,05-14,2020-03-06,0
DE-NI,05-14,2020-03-07,0
DE-NI,05-14,2020-03-08,0
DE-NI,05-14,2020-03-09,0
DE-NI,05-14,2020-03-10,0
DE-NI,05-14,2020-03-11,0
DE-NI,15-34,2020-03-06,0
DE-NI,15-34,2020-03-07,0
DE-NI,15-34,2020-03-08,0
DE-NI,15-34,2020-03-09,0
DE-NI,15-34,2020-03-10,0
DE-NI,15-34,2020-03-11,0
DE-NI,35-59,2020-03-06,1
DE-NI,35-59,2020-03-07,1
DE-NI,35-59,2020-03-08,1
DE-NI,35-59,2020-03-09,0
DE-NI,35-59,2020-03-10,0
DE-NI,35-59,2020-03-11,1
DE-NI,60-79,2020-03-06,0
DE-NI,60-79,2020-03-07,1
DE-NI,60-79,2020-03-08,0
DE-NI,60-79,2020-03-09,0
DE-NI,60-79,2020-03-10,0
DE-NI,60-79,2020-03-11,2
DE-NI,80+,2020-03-06,0
DE-NI,80+,2020-03-07,0
DE-NI,80+,2020-03-08,0
DE-NI,80+,2020-03-09,0
DE-NI,80+,2020-03-10,0
DE-NI,80+,2020-03-11,0
DE-NW,00+,2020-03-06,4
DE-NW,00+,2020-03-07,10
DE-NW,00+,2020-03-08,8
DE-NW,00+,2020-03-09,9
DE-NW,00+,2020-03-10,18
DE-NW,00+,2020-03-11,20
DE-NW,00-04,2020-03-06,0
DE-NW,00-04,2020-03-07,0
DE-NW,00-04,2020-03-08,0
DE-NW,00-04,2020-03-09,1
DE-NW,00-04,2020-03-10,0
DE-NW,00-04,2020-03-11,0
DE-NW,05-14,2020-03-06,0
DE-NW,05-14,2020-03-07,0
DE-NW,05-14,2020-03-08,0
DE-NW,05-14,2020-03-09,0
DE-NW,05-14,2020-03-10,0
DE-NW,05-14,2020-03-11,0
DE-NW,15-34,2020-03-06,0
DE-NW,15-34,2020-03-07,0
DE-NW,15-34,2020-03-08,0
DE-NW,15-34,2020-03-09,0
DE-NW,15-34,2020-03-10,1
DE-NW,15-34,2020-03-11,3
DE-NW,35-59,2020-03-06,3
DE-NW,35-59,2020-03-07,5
DE-NW,35-59,2020-03-08,2
DE-NW,35-59,2020-03-09,6
DE-NW,35-59,2020-03-10,8
DE-NW,35-59,2020-03-11,9
DE-NW,60-79,2020-03-06,0
DE-NW,60-79,2020-03-07,4
DE-NW,60-79,2020-03-08,6
DE-NW,60-79,2020-03-09,0
DE-NW,60-79,2020-03-10,6
DE-NW,60-79,2020-03-11,6
DE-NW,80+,2020-03-06,1
DE-NW,80+,2020-03-07,1
DE-NW,80+,2020-03-08,0
DE-NW,80+,2020-03-09,2
DE-NW,80+,2020-03-10,3
DE-NW,80+,2020-03-11,2
DE-RP,00+,2020-03-06,0
DE-RP,00+,2020-03-07,0
DE-RP,00+,2020-03-08,0
DE-RP,00+,2020-03-09,0
DE-RP,00+,2020-03-10,2
DE-RP,00+,2020-03-11,1
DE-RP,00-04,2020-03-06,0
DE-RP,00-04,2020-03-07,0
DE-RP,00-04,2020-03-08,0
DE-RP,00-04,2020-03-09,0
DE-RP,00-04,2020-03-10,0
DE-RP,00-04,2020-03-11,0
DE-RP,05-14,2020-03-06,0
DE-RP,05-14,2020-03-07,0
DE-RP,05-14,2020-03-08,0
DE-RP,05-14,2020-03-09,0
DE-RP,05-14,2020-03-10,0
DE-RP,05-14,2020-03-11,0
DE-RP,15-34,2020-03-06,0
DE-RP,15-34,2020-03-07,0
DE-RP,15-34,2020-03-08,0
DE-RP,15-34,2020-03-09,0
DE-RP,15-34,2020-03-10,0
DE-RP,15-34,2020-03-11,1
DE-RP,35-59,2020-03-06,0
DE-RP,35-59,2020-03-07,0
DE-RP,35-59,2020-03-08,0
DE-RP,35-59,2020-03-09,0
DE-RP,35-59,2020-03-10,2
DE-RP,35-59,2020-03-11,0
DE-RP,60-79,2020-03-06,0
DE-RP,60-79,2020-03-07,0
DE-RP,60-79,2020-03-08,0
DE-RP,60-79,2020-03-09,0
DE-RP,60-79,2020-03-10,0
DE-RP,60-79,2020-03-11,0
DE-RP,80+,2020-03-06,0
DE-RP,80+,2020-03-07,0
DE-RP,80+,2020-03-08,0
DE-RP,80+,2020-03-09,0
DE-RP,80+,2020-03-10,0
DE-RP,80+,2020-03-11,0
DE-SH,00+,2020-03-06,0
DE-SH,00+,2020-03-07,1
DE-SH,00+,2020-03-08,0
DE-SH,00+,2020-03-09,0
DE-SH,00+,2020-03-10,0
DE-SH,00+,2020-03-11,0
DE-SH,00-04,2020-03-06,0
DE-SH,00-04,2020-03-07,0
DE-SH,00-04,2020-03-08,0
DE-SH,00-04,2020-03-09,0
DE-SH,00-04,2020-03-10,0
DE-SH,00-04,2020-03-11,0
DE-SH,05-14,2020-03-06,0
DE-SH,05-14,2020-03-07,0
DE-SH,05-14,2020-03-08,0
DE-SH,05-14,2020-03-09,0
DE-SH,05-14,2020-03-10,0
DE-SH,05-14,2020-03-11,0
DE-SH,15-34,2020-03-06,0
DE-SH,15-34,2020-03-07,0
DE-SH,15-34,2020-03-08,0
DE-SH,15-34,2020-03-09,0
DE-SH,15-34,2020-03-10,0
DE-SH,15-34,2020-03-11,0
DE-SH,35-59,2020-03-06,0
DE-SH,35-59,2020-03-07,0
DE-SH,35-59,2020-03-08,0
DE-SH,35-59,2020-03-09,0
DE-SH,35-59,2020-03-10,0
DE-SH,35-59,2020-03-11,0
DE-SH,60-79,2020-03-06,0
DE-SH,60-79,2020-03-07,1
DE-SH,60-79,2020-03-08,0
DE-SH,60-79,2020-03-09,0
DE-SH,60-79,2020-03-10,0
DE-SH,60-79,2020-03-11,0
DE-SH,80+,2020-03-06,0
DE-SH,80+,2020-03-07,0
DE-SH,80+,2020-03-08,0
DE-SH,80+,2020-03-09,0
DE-SH,80+,2020-03-10,0
DE-SH,80+,2020-03-11,0
DE-SL,00+,2020-03-06,0
DE-SL,00+,2020-03-07,0
DE-SL,00+,2020-03-08,0
DE-SL,00+,2020-03-09,0
DE-SL,00+,2020-03-10,0
DE-SL,00+,2020-03-11,0
DE-SL,00-04,2020-03-06,0
DE-SL,00-04,2020-03-07,0
DE-SL,00-04,2020-03-08,0
DE-SL,00-04,2020-03-09,0
DE-SL,00-04,2020-03-10,0
DE-SL,00-04,2020-03-11,0
DE-SL,05-14,2020-03-06,0
DE-SL,05-14,2020-03-07,0
DE-SL,05-14,2020-03-08,0
DE-SL,05-14,2020-03-09,0
DE-SL,05-14,2020-03-10,0
DE-SL,05-14,2020-03-11,0
DE-SL,15-34,2020-03-06,0
DE-SL,15-34,2020-03-07,0
DE-SL,15-34,2020-03-08,0
DE-SL,15-34,2020-03-09,0
DE-SL,15-34,2020-03-10,0
DE-SL,15-34,2020-03-11,0
DE-SL,35-59,2020-03-06,0
DE-SL,35-59,2020-03-07,0
DE-SL,35-59,2020-03-08,0
DE-SL,35-59,2020-03-09,0
DE-SL,35-59,2020-03-10,0
DE-SL,35-59,2020-03-11,0
DE-SL,60-79,2020-03-06,0
DE-SL,60-79,2020-03-07,0
DE-SL,60-79,2020-03-08,0
DE-SL,60-79,2020-03-09,0
DE-SL,60-79,2020-03-10,0
DE-SL,60-79,2020-03-11,0
DE-SL,80+,2020-03-06,0
DE-SL,80+,2020-03-07,0
DE-SL,80+,2020-03-08,0
DE-SL,80+,2020-03-09,0
DE-SL,80+,2020-03-10,0
DE-SL,80+,2020-03-11,0
DE-SN,00+,2020-03-06,0
DE-SN,00+,2020-03-07,1
DE-SN,00+,2020-03-08,0
DE-SN,00+,2020-03-09,1
DE-SN,00+,2020-03-10,1
DE-SN,00+,2020-03-11,2
DE-SN,00-04,2020-03-06,0
DE-SN,00-04,2020-03-07,0
DE-SN,00-04,2020-03-08,0
DE-SN,00-04,2020-03-09,0
DE-SN,00-04,2020-03-10,0
DE-SN,00-04,2020-03-11,0
DE-SN,05-14,2020-03-06,0
DE-SN,05-14,2020-03-07,0
DE-SN,05-14,2020-03-08,0
DE-SN,05-14,2020-03-09,0
DE-SN,05-14,2020-03-10,0
DE-SN,05-14,2020-03-11,0
DE-SN,15-34,2020-03-06,0
DE-SN,15-34,2020-03-07,0
DE-SN,15-34,2020-03-08,0
DE-SN,15-34,2020-03-09,0
DE-SN,15-34,2020-03-10,1
DE-SN,15-34,2020-03-11,1
DE-SN,35-59,2020-03-06,0
DE-SN,35-59,2020-03-07,1
DE-SN,35-59,2020-03-08,0
DE-SN,35-59,2020-03-09,1
DE-SN,35-59,2020-03-10,0
DE-SN,35-59,2020-03-11,1
DE-SN,60-79,2020-03-06,0
DE-SN,60-79,2020-03-07,0
DE-SN,60-79,2020-03-08,0
DE-SN,60-79,2020-03-09,0
DE-SN,60-79,2020-03-10,0
DE-SN,60-79,2020-03-11,0
DE-SN,80+,2020-03-06,0
DE-SN,80+,2020-03-07,0
DE-SN,80+,2020-03-08,0
DE-SN,80+,2020-03-09,0
DE-SN,80+,2020-03-10,0
DE-SN,80+,2020-03-11,0
DE-ST,00+,2020-03-06,0
DE-ST,00+,2020-03-07,0
DE-ST,00+,2020-03-08,0
DE-ST,00+,2020-03-09,0
DE-ST,00+,2020-03-10,0
DE-ST,00+,2020-03-11,0
DE-ST,00-04,2020-03-06,0
DE-ST,00-04,2020-03-07,0
DE-ST,00-04,2020-03-08,0
DE-ST,00-04,2020-03-09,0
DE-ST,00-04,2020-03-10,0
DE-ST,00-04,2020-03-11,0
DE-ST,05-14,2020-03-06,0
DE-ST,05-14,2020-03-07,0
DE-ST,05-14,2020-03-08,0
DE-ST,05-14,2020-03-09,0
DE-ST,05-14,2020-03-10,0
DE-ST,05-14,2020-03-11,0
DE-ST,15-34,2020-03-06,0
DE-ST,15-34,2020-03-07,0
DE-ST,15-34,2020-03-08,0
DE-ST,15-34,2020-03-09,0
DE-ST,15-34,2020-03-10,0
DE-ST,15-34,2020-03-11,0
DE-ST,35-59,2020-03-06,0
DE-ST,35-59,2020-03-07,0
DE-ST,35-59,2020-03-08,0
DE-ST,35-59,2020-03-09,0
DE-ST,35-59,2020-03-10,0
DE-ST,35-59,2020-03-11,0
DE-ST,60-79,2020-03-06,0
DE-ST,60-79,2020-03-07,0
DE-ST,60-79,2020-03-08,0
DE-ST,60-79,2020-03-09,0
DE-ST,60-79,2020-03-10,0
DE-ST,60-79,2020-03-11,0
DE-ST,80+,2020-03-06,0
DE-ST,80+,2020-03-07,0
DE-ST,80+,2020-03-08,0
DE-ST,80+,2020-03-09,0
DE-ST,80+,2020-03-10,0
DE-ST,80+,2020-03-11,0
DE-TH,00+,2020-03-06,0
DE-TH,00+,2020-03-07,0
DE-TH,00+,2020-03-08,1
DE-TH,00+,2020-03-09,0
DE-TH,00+,2020-03-10,0
DE-TH,00+,2020-03-11,1
DE-TH,00-04,2020-03-06,0
DE-TH,00-04,2020-03-07,0
DE-TH,00-04,2020-03-08,0
DE-TH,00-04,2020-03-09,0
DE-TH,00-04,2020-03-10,0
DE-TH,00-04,2020-03-11,0
DE-TH,05-14,2020-03-06,0
DE-TH,05-14,2020-03-07,0
DE-TH,05-14,2020-03-08,0
DE-TH,05-14,2020-03-09,0
DE-TH,05-14,2020-03-10,0
DE-TH,05-14,2020-03-11,0
DE-TH,15-34,2020-03-06,0
DE-TH,15-34,2020-03-07,0
DE-TH,15-34,2020-03-08,0
DE-TH,15-34,2020-03-09,0
DE-TH,15-34,2020-03-10,0
DE-TH,15-34,2020-03-11,0
DE-TH,35-59,2020-03-06,0
DE-TH,35-59,2020-03-07,0
DE-TH,35-59,2020-03-08,0
DE-TH,35-59,2020-03-09,0
DE-TH,35-59,2020-03-10,0
DE-TH,35-59,2020-03-11,1
DE-TH,60-79,2020-03-06,0
DE-TH,60-79,2020-03-07,0
DE-TH,60-79,2020-03-08,1
DE-TH,60-79,2020-03-09,0
DE-TH,60-79,2020-03-10,0
DE-TH,60-79,2020-03-11,0
DE-TH,80+,2020-03-06,0
DE-TH,80+,2020-03-07,0
DE-TH,80+,2020-03-08,0
DE-TH,80+,2020-03-09,0
DE-TH,80+,2020-03-10,0
DE-TH,80+,2020-03-11,0
