date,location,age_group,value
2021-09-11,DE,00-04,64.0
2021-09-11,DE,00+,1610.0
2021-09-11,DE,05-14,58.0
2021-09-11,DE,15-34,307.0
2021-09-11,DE,35-59,533.0
2021-09-11,DE,60-79,385.0
2021-09-11,DE,80+,263.0
2021-09-11,DE-SH,00-04,2.0
2021-09-11,DE-SH,00+,45.0
2021-09-11,DE-SH,05-14,1.0
2021-09-11,DE-SH,15-34,19.0
2021-09-11,DE-SH,35-59,11.0
2021-09-11,DE-SH,60-79,8.0
2021-09-11,DE-SH,80+,4.0
2021-09-11,DE-HH,00-04,1.0
2021-09-11,DE-HH,00+,25.0
2021-09-11,DE-HH,05-14,0.0
2021-09-11,DE-HH,15-34,1.0
2021-09-11,DE-HH,35-59,8.0
2021-09-11,DE-HH,60-79,9.0
2021-09-11,DE-HH,80+,6.0
2021-09-11,DE-NI,00-04,3.0
2021-09-11,DE-NI,00+,142.0
2021-09-11,DE-NI,05-14,5.0
2021-09-11,DE-NI,15-34,29.0
2021-09-11,DE-NI,35-59,54.0
2021-09-11,DE-NI,60-79,23.0
2021-09-11,DE-NI,80+,28.0
2021-09-11,DE-HB,00-04,0.0
2021-09-11,DE-HB,00+,34.0
2021-09-11,DE-HB,05-14,3.0
2021-09-11,DE-HB,15-34,7.0
2021-09-11,DE-HB,35-59,11.0
2021-09-11,DE-HB,60-79,8.0
2021-09-11,DE-HB,80+,5.0
2021-09-11,DE-NW,00-04,14.0
2021-09-11,DE-NW,00+,336.0
2021-09-11,DE-NW,05-14,16.0
2021-09-11,DE-NW,15-34,72.0
2021-09-11,DE-NW,35-59,121.0
2021-09-11,DE-NW,60-79,73.0
2021-09-11,DE-NW,80+,40.0
2021-09-11,DE-HE,00-04,9.0
2021-09-11,DE-HE,00+,155.0
2021-09-11,DE-HE,05-14,5.0
2021-09-11,DE-HE,15-34,20.0
2021-09-11,DE-HE,35-59,49.0
2021-09-11,DE-HE,60-79,43.0
2021-09-11,DE-HE,80+,29.0
2021-09-11,DE-RP,00-04,8.0
2021-09-11,DE-RP,00+,107.0
2021-09-11,DE-RP,05-14,3.0
2021-09-11,DE-RP,15-34,21.0
2021-09-11,DE-RP,35-59,33.0
2021-09-11,DE-RP,60-79,21.0
2021-09-11,DE-RP,80+,21.0
2021-09-11,DE-BW,00-04,10.0
2021-09-11,DE-BW,00+,264.0
2021-09-11,DE-BW,05-14,9.0
2021-09-11,DE-BW,15-34,56.0
2021-09-11,DE-BW,35-59,85.0
2021-09-11,DE-BW,60-79,69.0
2021-09-11,DE-BW,80+,35.0
2021-09-11,DE-BY,00-04,13.0
2021-09-11,DE-BY,00+,323.0
2021-09-11,DE-BY,05-14,10.0
2021-09-11,DE-BY,15-34,46.0
2021-09-11,DE-BY,35-59,116.0
2021-09-11,DE-BY,60-79,77.0
2021-09-11,DE-BY,80+,61.0
2021-09-11,DE-SL,00-04,0.0
2021-09-11,DE-SL,00+,19.0
2021-09-11,DE-SL,05-14,0.0
2021-09-11,DE-SL,15-34,7.0
2021-09-11,DE-SL,35-59,2.0
2021-09-11,DE-SL,60-79,8.0
2021-09-11,DE-SL,80+,2.0
2021-09-11,DE-BE,00-04,0.0
2021-09-11,DE-BE,00+,42.0
2021-09-11,DE-BE,05-14,3.0
2021-09-11,DE-BE,15-34,5.0
2021-09-11,DE-BE,35-59,15.0
2021-09-11,DE-BE,60-79,16.0
2021-09-11,DE-BE,80+,3.0
2021-09-11,DE-BB,00-04,1.0
2021-09-11,DE-BB,00+,22.0
2021-09-11,DE-BB,05-14,3.0
2021-09-11,DE-BB,15-34,4.0
2021-09-11,DE-BB,35-59,3.0
2021-09-11,DE-BB,60-79,3.0
2021-09-11,DE-BB,80+,8.0
2021-09-11,DE-MV,00-04,0.0
2021-09-11,DE-MV,00+,11.0
2021-09-11,DE-MV,05-14,0.0
2021-09-11,DE-MV,15-34,2.0
2021-09-11,DE-MV,35-59,3.0
2021-09-11,DE-MV,60-79,4.0
2021-09-11,DE-MV,80+,2.0
2021-09-11,DE-SN,00-04,1.0
2021-09-11,DE-SN,00+,41.0
2021-09-11,DE-SN,05-14,0.0
2021-09-11,DE-SN,15-34,6.0
2021-09-11,DE-SN,35-59,10.0
2021-09-11,DE-SN,60-79,13.0
2021-09-11,DE-SN,80+,11.0
2021-09-11,DE-ST,00-04,0.0
2021-09-11,DE-ST,00+,14.0
2021-09-11,DE-ST,05-14,0.0
2021-09-11,DE-ST,15-34,5.0
2021-09-11,DE-ST,35-59,4.0
2021-09-11,DE-ST,60-79,3.0
2021-09-11,DE-ST,80+,2.0
2021-09-11,DE-TH,00-04,2.0
2021-09-11,DE-TH,00+,30.0
2021-09-11,DE-TH,05-14,0.0
2021-09-11,DE-TH,15-34,7.0
2021-09-11,DE-TH,35-59,8.0
2021-09-11,DE-TH,60-79,7.0
2021-09-11,DE-TH,80+,6.0
2021-09-10,DE,00-04,70.0
2021-09-10,DE,00+,1867.0
2021-09-10,DE,05-14,60.0
2021-09-10,DE,15-34,368.0
2021-09-10,DE,35-59,620.0
2021-09-10,DE,60-79,454.0
2021-09-10,DE,80+,295.0
2021-09-10,DE-SH,00-04,2.0
2021-09-10,DE-SH,00+,52.0
2021-09-10,DE-SH,05-14,1.0
2021-09-10,DE-SH,15-34,21.0
2021-09-10,DE-SH,35-59,15.0
2021-09-10,DE-SH,60-79,10.0
2021-09-10,DE-SH,80+,3.0
2021-09-10,DE-HH,00-04,1.0
2021-09-10,DE-HH,00+,30.0
2021-09-10,DE-HH,05-14,0.0
2021-09-10,DE-HH,15-34,2.0
2021-09-10,DE-HH,35-59,9.0
2021-09-10,DE-HH,60-79,9.0
2021-09-10,DE-HH,80+,9.0
2021-09-10,DE-NI,00-04,3.0
2021-09-10,DE-NI,00+,155.0
2021-09-10,DE-NI,05-14,7.0
2021-09-10,DE-NI,15-34,31.0
2021-09-10,DE-NI,35-59,57.0
2021-09-10,DE-NI,60-79,28.0
2021-09-10,DE-NI,80+,29.0
2021-09-10,DE-HB,00-04,0.0
2021-09-10,DE-HB,00+,32.0
2021-09-10,DE-HB,05-14,1.0
2021-09-10,DE-HB,15-34,8.0
2021-09-10,DE-HB,35-59,12.0
2021-09-10,DE-HB,60-79,8.0
2021-09-10,DE-HB,80+,3.0
2021-09-10,DE-NW,00-04,18.0
2021-09-10,DE-NW,00+,408.0
2021-09-10,DE-NW,05-14,17.0
2021-09-10,DE-NW,15-34,88.0
2021-09-10,DE-NW,35-59,136.0
2021-09-10,DE-NW,60-79,95.0
2021-09-10,DE-NW,80+,54.0
2021-09-10,DE-HE,00-04,9.0
2021-09-10,DE-HE,00+,185.0
2021-09-10,DE-HE,05-14,6.0
2021-09-10,DE-HE,15-34,24.0
2021-09-10,DE-HE,35-59,68.0
2021-09-10,DE-HE,60-79,47.0
2021-09-10,DE-HE,80+,31.0
2021-09-10,DE-RP,00-04,7.0
2021-09-10,DE-RP,00+,118.0
2021-09-10,DE-RP,05-14,3.0
2021-09-10,DE-RP,15-34,22.0
2021-09-10,DE-RP,35-59,43.0
2021-09-10,DE-RP,60-79,23.0
2021-09-10,DE-RP,80+,20.0
2021-09-10,DE-BW,00-04,11.0
2021-09-10,DE-BW,00+,299.0
2021-09-10,DE-BW,05-14,9.0
2021-09-10,DE-BW,15-34,68.0
2021-09-10,DE-BW,35-59,94.0
2021-09-10,DE-BW,60-79,75.0
2021-09-10,DE-BW,80+,42.0
2021-09-10,DE-BY,00-04,14.0
