"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00-04",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,146,"COVID-19"
"DE","00+",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,4294,"COVID-19"
"DE","05-14",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,112,"COVID-19"
"DE","15-34",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,427,"COVID-19"
"DE","35-59",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,734,"COVID-19"
"DE","60-79",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,1387,"COVID-19"
"DE","80+",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,1490,"COVID-19"
"DE-BB","00+",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,84,"COVID-19"
"DE-BE","00+",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,110,"COVID-19"
"DE-BW","00+",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,427,"COVID-19"
"DE-BY","00+",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,886,"COVID-19"
"DE-HB","00+",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,12,"COVID-19"
"DE-HE","00+",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,283,"COVID-19"
"DE-HH","00+",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,62,"COVID-19"
"DE-MV","00+",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,130,"COVID-19"
"DE-NI","00+",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,348,"COVID-19"
"DE-NW","00+",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,1118,"COVID-19"
"DE-RP","00+",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,243,"COVID-19"
"DE-SH","00+",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,156,"COVID-19"
"DE-SL","00+",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,36,"COVID-19"
"DE-SN","00+",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,130,"COVID-19"
"DE-ST","00+",2022-06-14,2022-05-17,"-28 day ahead inc hosp","mean",NA,115,"COVID-19"
