"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00-04",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,181,"COVID-19"
"DE","00+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,4545,"COVID-19"
"DE","05-14",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,72,"COVID-19"
"DE","15-34",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,556,"COVID-19"
"DE","35-59",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,852,"COVID-19"
"DE","60-79",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,1399,"COVID-19"
"DE","80+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,1483,"COVID-19"
"DE-BB","00+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,94,"COVID-19"
"DE-BE","00+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,124,"COVID-19"
"DE-BW","00+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,409,"COVID-19"
"DE-BY","00+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,967,"COVID-19"
"DE-HB","00+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,7,"COVID-19"
"DE-HE","00+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,327,"COVID-19"
"DE-HH","00+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,76,"COVID-19"
"DE-MV","00+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,102,"COVID-19"
"DE-NI","00+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,321,"COVID-19"
"DE-NW","00+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,1330,"COVID-19"
"DE-RP","00+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,224,"COVID-19"
"DE-SH","00+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,195,"COVID-19"
"DE-SL","00+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,46,"COVID-19"
"DE-SN","00+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,101,"COVID-19"
"DE-ST","00+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,90,"COVID-19"
"DE-TH","00+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","mean",NA,113,"COVID-19"
"DE","00-04",2022-07-13,2022-06-15,"-28 day ahead inc hosp","quantile",0.025,179,"COVID-19"
"DE","00+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","quantile",0.025,4488,"COVID-19"
"DE","05-14",2022-07-13,2022-06-15,"-28 day ahead inc hosp","quantile",0.025,71,"COVID-19"
"DE","15-34",2022-07-13,2022-06-15,"-28 day ahead inc hosp","quantile",0.025,547,"COVID-19"
"DE","35-59",2022-07-13,2022-06-15,"-28 day ahead inc hosp","quantile",0.025,842,"COVID-19"
"DE","60-79",2022-07-13,2022-06-15,"-28 day ahead inc hosp","quantile",0.025,1376,"COVID-19"
"DE","80+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","quantile",0.025,1459,"COVID-19"
"DE-BB","00+",2022-07-13,2022-06-15,"-28 day ahead inc hosp","quantile",0.025,92,"COVID-19"
