"","location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"438","DE","00-04",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,56,"COVID-19"
"439","DE","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,3601,"COVID-19"
"440","DE","05-14",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,56,"COVID-19"
"441","DE","15-34",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,436,"COVID-19"
"442","DE","35-59",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,977,"COVID-19"
"443","DE","60-79",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,1121,"COVID-19"
"444","DE","80+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,985,"COVID-19"
"445","DE-BB","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,84,"COVID-19"
"446","DE-BE","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,177,"COVID-19"
"447","DE-BW","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,622,"COVID-19"
"448","DE-BY","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,748,"COVID-19"
"449","DE-HB","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,35,"COVID-19"
"450","DE-HE","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,236,"COVID-19"
"451","DE-HH","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,62,"COVID-19"
"452","DE-MV","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,56,"COVID-19"
"453","DE-NI","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,194,"COVID-19"
"454","DE-NW","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,680,"COVID-19"
"455","DE-RP","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,150,"COVID-19"
"456","DE-SH","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,70,"COVID-19"
"457","DE-SL","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,21,"COVID-19"
"458","DE-SN","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,211,"COVID-19"
"459","DE-ST","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,77,"COVID-19"
"460","DE-TH","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","mean",NA,199,"COVID-19"
"1059","DE","00-04",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,55,"COVID-19"
"1060","DE","00+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,3570,"COVID-19"
"1061","DE","05-14",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,55,"COVID-19"
"1062","DE","15-34",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,430,"COVID-19"
"1063","DE","35-59",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,966,"COVID-19"
"1064","DE","60-79",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,1106,"COVID-19"
"1065","DE","80+",2021-11-17,2021-10-20,"-28 day ahead inc hosp","quantile",0.025,972,"COVID-19"
