"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00-04",2022-11-27,2022-10-30,"-28 day ahead inc hosp","mean",NA,209,"COVID-19"
"DE","00+",2022-11-27,2022-10-30,"-28 day ahead inc hosp","mean",NA,11961,"COVID-19"
"DE","05-14",2022-11-27,2022-10-30,"-28 day ahead inc hosp","mean",NA,88,"COVID-19"
"DE","15-34",2022-11-27,2022-10-30,"-28 day ahead inc hosp","mean",NA,547,"COVID-19"
"DE","35-59",2022-11-27,2022-10-30,"-28 day ahead inc hosp","mean",NA,1632,"COVID-19"
"DE","60-79",2022-11-27,2022-10-30,"-28 day ahead inc hosp","mean",NA,4356,"COVID-19"
"DE","80+",2022-11-27,2022-10-30,"-28 day ahead inc hosp","mean",NA,5096,"COVID-19"
"DE-BB","00+",2022-11-27,2022-10-30,"-28 day ahead inc hosp","mean",NA,568,"COVID-19"
"DE-BE","00+",2022-11-27,2022-10-30,"-28 day ahead inc hosp","mean",NA,448,"COVID-19"
"DE-BW","00+",2022-11-27,2022-10-30,"-28 day ahead inc hosp","mean",NA,1165,"COVID-19"
"DE-BY","00+",2022-11-27,2022-10-30,"-28 day ahead inc hosp","mean",NA,1971,"COVID-19"
"DE-HB","00+",2022-11-27,2022-10-30,"-28 day ahead inc hosp","mean",NA,36,"COVID-19"
"DE-HE","00+",2022-11-27,2022-10-30,"-28 day ahead inc hosp","mean",NA,781,"COVID-19"
"DE-HH","00+",2022-11-27,2022-10-30,"-28 day ahead inc hosp","mean",NA,180,"COVID-19"
"DE-MV","00+",2022-11-27,2022-10-30,"-28 day ahead inc hosp","mean",NA,329,"COVID-19"
"DE-NI","00+",2022-11-27,2022-10-30,"-28 day ahead inc hosp","mean",NA,706,"COVID-19"
"DE-NW","00+",2022-11-27,2022-10-30,"-28 day ahead inc hosp","mean",NA,3087,"COVID-19"
"DE-RP","00+",2022-11-27,2022-10-30,"-28 day ahead inc hosp","mean",NA,518,"COVID-19"
"DE-SH","00+",2022-11-27,2022-10-30,"-28 day ahead inc hosp","mean",NA,441,"COVID-19"
