"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00-04",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,124,"COVID-19"
"DE","00+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,3767,"COVID-19"
"DE","05-14",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,48,"COVID-19"
"DE","15-34",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,429,"COVID-19"
"DE","35-59",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,668,"COVID-19"
"DE","60-79",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,1185,"COVID-19"
"DE","80+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,1310,"COVID-19"
"DE-BB","00+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,57,"COVID-19"
"DE-BE","00+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,116,"COVID-19"
"DE-BW","00+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,353,"COVID-19"
"DE-BY","00+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,757,"COVID-19"
"DE-HB","00+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,6,"COVID-19"
"DE-HE","00+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,256,"COVID-19"
"DE-HH","00+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,59,"COVID-19"
"DE-MV","00+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,87,"COVID-19"
"DE-NI","00+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,258,"COVID-19"
"DE-NW","00+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,1135,"COVID-19"
"DE-RP","00+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,190,"COVID-19"
"DE-SH","00+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,160,"COVID-19"
"DE-SL","00+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,36,"COVID-19"
"DE-SN","00+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,87,"COVID-19"
"DE-ST","00+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,89,"COVID-19"
"DE-TH","00+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","mean",NA,97,"COVID-19"
"DE","00-04",2022-07-10,2022-06-12,"-28 day ahead inc hosp","quantile",0.025,122,"COVID-19"
"DE","00+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","quantile",0.025,3699,"COVID-19"
"DE","05-14",2022-07-10,2022-06-12,"-28 day ahead inc hosp","quantile",0.025,48,"COVID-19"
"DE","15-34",2022-07-10,2022-06-12,"-28 day ahead inc hosp","quantile",0.025,421,"COVID-19"
"DE","35-59",2022-07-10,2022-06-12,"-28 day ahead inc hosp","quantile",0.025,655,"COVID-19"
"DE","60-79",2022-07-10,2022-06-12,"-28 day ahead inc hosp","quantile",0.025,1163,"COVID-19"
"DE","80+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","quantile",0.025,1283,"COVID-19"
"DE-BB","00+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","quantile",0.025,55,"COVID-19"
"DE-BE","00+",2022-07-10,2022-06-12,"-28 day ahead inc hosp","quantile",0.025,114,"COVID-19"
