"location","age_group","forecast_date","target_end_date","target","type","quantile","value","pathogen"
"DE","00-04",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,139,"COVID-19"
"DE","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,4863,"COVID-19"
"DE","05-14",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,67,"COVID-19"
"DE","15-34",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,354,"COVID-19"
"DE","35-59",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,655,"COVID-19"
"DE","60-79",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,1674,"COVID-19"
"DE","80+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,1969,"COVID-19"
"DE-BB","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,166,"COVID-19"
"DE-BE","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,247,"COVID-19"
"DE-BW","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,372,"COVID-19"
"DE-BY","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,1216,"COVID-19"
"DE-HB","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,16,"COVID-19"
"DE-HE","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,343,"COVID-19"
"DE-HH","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,51,"COVID-19"
"DE-MV","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,94,"COVID-19"
"DE-NI","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,318,"COVID-19"
"DE-NW","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,1179,"COVID-19"
"DE-RP","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,292,"COVID-19"
"DE-SH","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,131,"COVID-19"
"DE-SL","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,47,"COVID-19"
"DE-SN","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,175,"COVID-19"
"DE-ST","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,107,"COVID-19"
"DE-TH","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","mean",NA,94,"COVID-19"
"DE","00-04",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,138,"COVID-19"
"DE","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,4822,"COVID-19"
"DE","05-14",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,67,"COVID-19"
"DE","15-34",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,351,"COVID-19"
"DE","35-59",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,648,"COVID-19"
"DE","60-79",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,1658,"COVID-19"
"DE","80+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,1951,"COVID-19"
"DE-BB","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,164,"COVID-19"
"DE-BE","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,243,"COVID-19"
"DE-BW","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,368,"COVID-19"
"DE-BY","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,1208,"COVID-19"
"DE-HB","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,16,"COVID-19"
"DE-HE","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,340,"COVID-19"
"DE-HH","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,49,"COVID-19"
"DE-MV","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,94,"COVID-19"
"DE-NI","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,314,"COVID-19"
"DE-NW","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,1173,"COVID-19"
"DE-RP","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,289,"COVID-19"
"DE-SH","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,130,"COVID-19"
"DE-SL","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,46,"COVID-19"
"DE-SN","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,172,"COVID-19"
"DE-ST","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,106,"COVID-19"
"DE-TH","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.025,94,"COVID-19"
"DE","00-04",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,138,"COVID-19"
"DE","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,4826,"COVID-19"
"DE","05-14",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,67,"COVID-19"
"DE","15-34",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,351,"COVID-19"
"DE","35-59",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,650,"COVID-19"
"DE","60-79",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,1661,"COVID-19"
"DE","80+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,1954,"COVID-19"
"DE-BB","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,164,"COVID-19"
"DE-BE","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,244,"COVID-19"
"DE-BW","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,369,"COVID-19"
"DE-BY","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,1210,"COVID-19"
"DE-HB","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,16,"COVID-19"
"DE-HE","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,340,"COVID-19"
"DE-HH","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,49,"COVID-19"
"DE-MV","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,94,"COVID-19"
"DE-NI","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,316,"COVID-19"
"DE-NW","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,1174,"COVID-19"
"DE-RP","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,289,"COVID-19"
"DE-SH","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,130,"COVID-19"
"DE-SL","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,46,"COVID-19"
"DE-SN","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,172,"COVID-19"
"DE-ST","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,106,"COVID-19"
"DE-TH","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.1,94,"COVID-19"
"DE","00-04",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,138,"COVID-19"
"DE","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,4838,"COVID-19"
"DE","05-14",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,67,"COVID-19"
"DE","15-34",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,352,"COVID-19"
"DE","35-59",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,652,"COVID-19"
"DE","60-79",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,1665,"COVID-19"
"DE","80+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,1960,"COVID-19"
"DE-BB","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,165,"COVID-19"
"DE-BE","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,246,"COVID-19"
"DE-BW","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,370,"COVID-19"
"DE-BY","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,1212,"COVID-19"
"DE-HB","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,16,"COVID-19"
"DE-HE","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,342,"COVID-19"
"DE-HH","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,50,"COVID-19"
"DE-MV","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,94,"COVID-19"
"DE-NI","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,316,"COVID-19"
"DE-NW","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,1176,"COVID-19"
"DE-RP","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,290,"COVID-19"
"DE-SH","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,130,"COVID-19"
"DE-SL","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,46,"COVID-19"
"DE-SN","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,173,"COVID-19"
"DE-ST","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,106,"COVID-19"
"DE-TH","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.25,94,"COVID-19"
"DE","00-04",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,139,"COVID-19"
"DE","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,4857,"COVID-19"
"DE","05-14",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,67,"COVID-19"
"DE","15-34",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,354,"COVID-19"
"DE","35-59",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,654,"COVID-19"
"DE","60-79",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,1672,"COVID-19"
"DE","80+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,1968,"COVID-19"
"DE-BB","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,166,"COVID-19"
"DE-BE","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,247,"COVID-19"
"DE-BW","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,372,"COVID-19"
"DE-BY","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,1216,"COVID-19"
"DE-HB","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,16,"COVID-19"
"DE-HE","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,342,"COVID-19"
"DE-HH","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,51,"COVID-19"
"DE-MV","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,94,"COVID-19"
"DE-NI","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,318,"COVID-19"
"DE-NW","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,1178,"COVID-19"
"DE-RP","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,291,"COVID-19"
"DE-SH","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,130,"COVID-19"
"DE-SL","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,46,"COVID-19"
"DE-SN","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,174,"COVID-19"
"DE-ST","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,106,"COVID-19"
"DE-TH","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.5,94,"COVID-19"
"DE","00-04",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.75,141,"COVID-19"
"DE","00+",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.75,4882,"COVID-19"
"DE","05-14",2023-02-24,2023-01-27,"-28 day ahead inc hosp","quantile",0.75,68,"COVID-19"
