model,target_type,target_end_date,location,age_group,pathogen,mean,q0.025,q0.1,q0.25,q0.5,q0.75,q0.9,q0.975
testteam2-testmodel2,hosp,2021-09-29,DE,60-79,COVID-19,616.0,373.0,445.0,517.0,606.0,704.0,801.0,919.0
testteam2-testmodel2,hosp,2021-09-29,DE,80+,COVID-19,508.0,307.0,366.0,426.0,500.0,581.0,661.0,759.0
testteam2-testmodel2,hosp,2021-09-30,DE,00+,COVID-19,2441.0,1487.0,1770.0,2052.0,2400.0,2785.0,3164.0,3626.0
testteam2-testmodel2,hosp,2021-09-30,DE,00-04,COVID-19,69.0,39.0,48.0,57.0,68.0,81.0,93.0,108.0
testteam2-testmodel2,hosp,2021-09-30,DE,05-14,COVID-19,53.0,29.0,36.0,43.0,52.0,61.0,71.0,82.0
testteam2-testmodel2,hosp,2021-09-30,DE,15-34,COVID-19,380.0,228.0,273.0,318.0,374.0,435.0,495.0,569.0
testteam2-testmodel2,hosp,2021-09-30,DE,35-59,COVID-19,819.0,497.0,592.0,688.0,805.0,936.0,1064.0,1220.0
testteam2-testmodel2,hosp,2021-09-30,DE,60-79,COVID-19,600.0,363.0,433.0,504.0,590.0,686.0,780.0,895.0
testteam2-testmodel2,hosp,2021-09-30,DE,80+,COVID-19,536.0,323.0,386.0,449.0,527.0,613.0,697.0,800.0
testteam2-testmodel2,hosp,2021-10-01,DE,00+,COVID-19,2370.0,1444.0,1718.0,1992.0,2330.0,2704.0,3072.0,3520.0
testteam2-testmodel2,hosp,2021-10-01,DE,00-04,COVID-19,64.0,35.0,44.0,52.0,62.0,74.0,85.0,99.0
testteam2-testmodel2,hosp,2021-10-01,DE,05-14,COVID-19,49.0,26.0,33.0,40.0,48.0,57.0,66.0,77.0
testteam2-testmodel2,hosp,2021-10-01,DE,15-34,COVID-19,360.0,216.0,259.0,301.0,354.0,412.0,469.0,539.0
testteam2-testmodel2,hosp,2021-10-01,DE,35-59,COVID-19,771.0,467.0,558.0,648.0,758.0,881.0,1002.0,1149.0
testteam2-testmodel2,hosp,2021-10-01,DE,60-79,COVID-19,603.0,365.0,435.0,506.0,593.0,689.0,784.0,900.0
testteam2-testmodel2,hosp,2021-10-01,DE,80+,COVID-19,539.0,325.0,389.0,452.0,530.0,616.0,701.0,804.0
testteam2-testmodel2,hosp,2021-10-02,DE,00+,COVID-19,2349.0,1431.0,1703.0,1975.0,2310.0,2680.0,3045.0,3490.0
testteam2-testmodel2,hosp,2021-10-02,DE,00-04,COVID-19,62.0,34.0,42.0,50.0,61.0,72.0,83.0,96.0
testteam2-testmodel2,hosp,2021-10-02,DE,05-14,COVID-19,54.0,29.0,36.0,44.0,52.0,62.0,72.0,84.0
testteam2-testmodel2,hosp,2021-10-02,DE,15-34,COVID-19,345.0,207.0,248.0,288.0,339.0,394.0,449.0,516.0
testteam2-testmodel2,hosp,2021-10-02,DE,35-59,COVID-19,760.0,460.0,549.0,638.0,747.0,868.0,987.0,1132.0
testteam2-testmodel2,hosp,2021-10-02,DE,60-79,COVID-19,594.0,359.0,429.0,499.0,584.0,679.0,773.0,887.0
testteam2-testmodel2,hosp,2021-10-02,DE,80+,COVID-19,552.0,333.0,398.0,463.0,542.0,631.0,717.0,823.0
testteam2-testmodel2,hosp,2021-10-03,DE,00+,COVID-19,2342.0,1427.0,1698.0,1969.0,2303.0,2672.0,3036.0,3480.0
testteam2-testmodel2,hosp,2021-10-03,DE,00-04,COVID-19,62.0,34.0,42.0,50.0,61.0,72.0,83.0,96.0
testteam2-testmodel2,hosp,2021-10-03,DE,05-14,COVID-19,53.0,29.0,36.0,43.0,52.0,61.0,71.0,82.0
testteam2-testmodel2,hosp,2021-10-03,DE,15-34,COVID-19,353.0,212.0,254.0,296.0,347.0,404.0,460.0,529.0
testteam2-testmodel2,hosp,2021-10-03,DE,35-59,COVID-19,737.0,446.0,532.0,618.0,724.0,841.0,957.0,1098.0
testteam2-testmodel2,hosp,2021-10-03,DE,60-79,COVID-19,607.0,367.0,438.0,509.0,597.0,694.0,789.0,906.0
testteam2-testmodel2,hosp,2021-10-03,DE,80+,COVID-19,547.0,330.0,394.0,459.0,537.0,625.0,711.0,816.0
testteam2-testmodel2,hosp,2021-10-04,DE,00+,COVID-19,2331.0,1420.0,1691.0,1960.0,2293.0,2660.0,3022.0,3464.0
testteam2-testmodel2,hosp,2021-10-04,DE,00-04,COVID-19,62.0,34.0,42.0,50.0,61.0,72.0,83.0,96.0
testteam2-testmodel2,hosp,2021-10-04,DE,05-14,COVID-19,51.0,27.0,34.0,41.0,50.0,59.0,68.0,80.0
testteam2-testmodel2,hosp,2021-10-04,DE,15-34,COVID-19,352.0,211.0,253.0,295.0,346.0,403.0,459.0,527.0
testteam2-testmodel2,hosp,2021-10-04,DE,35-59,COVID-19,739.0,447.0,534.0,620.0,726.0,844.0,960.0,1101.0
testteam2-testmodel2,hosp,2021-10-04,DE,60-79,COVID-19,603.0,365.0,435.0,506.0,593.0,689.0,784.0,900.0
testteam2-testmodel2,hosp,2021-10-04,DE,80+,COVID-19,541.0,327.0,390.0,454.0,532.0,618.0,703.0,807.0
testteam2-testmodel2,hosp,2021-10-05,DE,00+,COVID-19,2285.0,1392.0,1656.0,1921.0,2246.0,2607.0,2962.0,3394.0
testteam2-testmodel2,hosp,2021-10-05,DE,00-04,COVID-19,67.0,37.0,46.0,55.0,65.0,77.0,89.0,103.0
testteam2-testmodel2,hosp,2021-10-05,DE,05-14,COVID-19,44.0,23.0,29.0,36.0,43.0,51.0,60.0,70.0
testteam2-testmodel2,hosp,2021-10-05,DE,15-34,COVID-19,338.0,203.0,243.0,283.0,332.0,387.0,440.0,506.0
testteam2-testmodel2,hosp,2021-10-05,DE,35-59,COVID-19,728.0,441.0,526.0,611.0,715.0,831.0,945.0,1084.0
testteam2-testmodel2,hosp,2021-10-05,DE,60-79,COVID-19,604.0,365.0,436.0,507.0,594.0,691.0,786.0,901.0
testteam2-testmodel2,hosp,2021-10-05,DE,80+,COVID-19,520.0,314.0,375.0,436.0,511.0,595.0,677.0,776.0
testteam2-testmodel2,hosp,2021-10-06,DE,00+,COVID-19,2170.0,1322.0,1573.0,1825.0,2134.0,2476.0,2814.0,3225.0
testteam2-testmodel2,hosp,2021-10-06,DE,00-04,COVID-19,57.0,31.0,39.0,46.0,56.0,66.0,76.0,89.0
testteam2-testmodel2,hosp,2021-10-06,DE,05-14,COVID-19,42.0,22.0,28.0,34.0,41.0,49.0,57.0,67.0
testteam2-testmodel2,hosp,2021-10-06,DE,15-34,COVID-19,291.0,174.0,208.0,243.0,286.0,333.0,379.0,436.0
testteam2-testmodel2,hosp,2021-10-06,DE,35-59,COVID-19,684.0,414.0,494.0,574.0,672.0,781.0,889.0,1019.0
testteam2-testmodel2,hosp,2021-10-06,DE,60-79,COVID-19,596.0,360.0,430.0,500.0,586.0,682.0,775.0,890.0
testteam2-testmodel2,hosp,2021-10-06,DE,80+,COVID-19,516.0,311.0,372.0,433.0,507.0,590.0,671.0,771.0
testteam2-testmodel2,hosp,2021-10-07,DE,00+,COVID-19,2146.0,1307.0,1556.0,1804.0,2110.0,2449.0,2782.0,3188.0
testteam2-testmodel2,hosp,2021-10-07,DE,00-04,COVID-19,52.0,28.0,35.0,42.0,51.0,61.0,70.0,82.0
testteam2-testmodel2,hosp,2021-10-07,DE,05-14,COVID-19,39.0,21.0,26.0,32.0,38.0,46.0,53.0,63.0
testteam2-testmodel2,hosp,2021-10-07,DE,15-34,COVID-19,281.0,168.0,202.0,235.0,276.0,322.0,367.0,422.0
testteam2-testmodel2,hosp,2021-10-07,DE,35-59,COVID-19,654.0,396.0,472.0,549.0,643.0,747.0,850.0,975.0
testteam2-testmodel2,hosp,2021-10-07,DE,60-79,COVID-19,615.0,372.0,444.0,516.0,605.0,703.0,800.0,917.0
testteam2-testmodel2,hosp,2021-10-07,DE,80+,COVID-19,520.0,314.0,375.0,436.0,511.0,595.0,677.0,776.0
testteam2-testmodel2,hosp,2021-10-08,DE,00+,COVID-19,2173.0,1324.0,1576.0,1827.0,2137.0,2480.0,2818.0,3229.0
testteam2-testmodel2,hosp,2021-10-08,DE,00-04,COVID-19,46.0,25.0,31.0,38.0,45.0,54.0,63.0,73.0
testteam2-testmodel2,hosp,2021-10-08,DE,05-14,COVID-19,39.0,21.0,26.0,32.0,38.0,46.0,53.0,63.0
testteam2-testmodel2,hosp,2021-10-08,DE,15-34,COVID-19,269.0,160.0,192.0,225.0,264.0,308.0,351.0,403.0
testteam2-testmodel2,hosp,2021-10-08,DE,35-59,COVID-19,656.0,397.0,474.0,551.0,645.0,750.0,853.0,978.0
testteam2-testmodel2,hosp,2021-10-08,DE,60-79,COVID-19,647.0,391.0,467.0,543.0,636.0,739.0,841.0,964.0
testteam2-testmodel2,hosp,2021-10-08,DE,80+,COVID-19,533.0,322.0,384.0,447.0,524.0,609.0,693.0,795.0
testteam2-testmodel2,hosp,2021-10-09,DE,00+,COVID-19,2210.0,1346.0,1603.0,1858.0,2173.0,2522.0,2866.0,3284.0
testteam2-testmodel2,hosp,2021-10-09,DE,00-04,COVID-19,41.0,22.0,28.0,33.0,41.0,49.0,56.0,66.0
testteam2-testmodel2,hosp,2021-10-09,DE,05-14,COVID-19,41.0,22.0,27.0,33.0,40.0,48.0,56.0,65.0
testteam2-testmodel2,hosp,2021-10-09,DE,15-34,COVID-19,276.0,165.0,198.0,231.0,272.0,317.0,361.0,415.0
testteam2-testmodel2,hosp,2021-10-09,DE,35-59,COVID-19,646.0,391.0,467.0,542.0,635.0,738.0,840.0,963.0
testteam2-testmodel2,hosp,2021-10-09,DE,60-79,COVID-19,685.0,415.0,495.0,575.0,674.0,783.0,890.0,1021.0
testteam2-testmodel2,hosp,2021-10-09,DE,80+,COVID-19,537.0,324.0,387.0,450.0,528.0,614.0,698.0,801.0
testteam2-testmodel2,hosp,2021-10-10,DE,00+,COVID-19,2222.0,1353.0,1611.0,1868.0,2185.0,2535.0,2881.0,3301.0
testteam2-testmodel2,hosp,2021-10-10,DE,00-04,COVID-19,45.0,24.0,30.0,37.0,44.0,53.0,61.0,72.0
testteam2-testmodel2,hosp,2021-10-10,DE,05-14,COVID-19,41.0,22.0,27.0,33.0,40.0,48.0,56.0,65.0
testteam2-testmodel2,hosp,2021-10-10,DE,15-34,COVID-19,267.0,159.0,191.0,223.0,262.0,306.0,348.0,401.0
testteam2-testmodel2,hosp,2021-10-10,DE,35-59,COVID-19,665.0,402.0,480.0,558.0,654.0,760.0,864.0,991.0
testteam2-testmodel2,hosp,2021-10-10,DE,60-79,COVID-19,679.0,411.0,491.0,570.0,668.0,776.0,883.0,1013.0
testteam2-testmodel2,hosp,2021-10-10,DE,80+,COVID-19,542.0,327.0,391.0,454.0,533.0,619.0,705.0,809.0
testteam2-testmodel2,hosp,2021-10-11,DE,00+,COVID-19,2236.0,1362.0,1621.0,1880.0,2198.0,2551.0,2899.0,3322.0
testteam2-testmodel2,hosp,2021-10-11,DE,00-04,COVID-19,45.0,24.0,30.0,37.0,44.0,53.0,61.0,72.0
testteam2-testmodel2,hosp,2021-10-11,DE,05-14,COVID-19,40.0,21.0,27.0,32.0,39.0,47.0,55.0,64.0
testteam2-testmodel2,hosp,2021-10-11,DE,15-34,COVID-19,260.0,155.0,186.0,217.0,256.0,298.0,340.0,391.0
testteam2-testmodel2,hosp,2021-10-11,DE,35-59,COVID-19,657.0,398.0,475.0,551.0,646.0,751.0,854.0,980.0
testteam2-testmodel2,hosp,2021-10-11,DE,60-79,COVID-19,692.0,419.0,500.0,581.0,681.0,791.0,899.0,1032.0
testteam2-testmodel2,hosp,2021-10-11,DE,80+,COVID-19,559.0,337.0,403.0,468.0,549.0,638.0,726.0,833.0
testteam2-testmodel2,hosp,2021-10-12,DE,00+,COVID-19,2284.0,1391.0,1656.0,1920.0,2245.0,2606.0,2960.0,3393.0
testteam2-testmodel2,hosp,2021-10-12,DE,00-04,COVID-19,41.0,21.0,27.0,33.0,40.0,47.0,55.0,64.0
testteam2-testmodel2,hosp,2021-10-12,DE,05-14,COVID-19,44.0,23.0,29.0,36.0,43.0,51.0,60.0,70.0
testteam2-testmodel2,hosp,2021-10-12,DE,15-34,COVID-19,278.0,166.0,199.0,233.0,274.0,319.0,363.0,418.0
testteam2-testmodel2,hosp,2021-10-12,DE,35-59,COVID-19,656.0,397.0,474.0,551.0,645.0,750.0,853.0,978.0
testteam2-testmodel2,hosp,2021-10-12,DE,60-79,COVID-19,693.0,420.0,501.0,582.0,681.0,792.0,901.0,1033.0
testteam2-testmodel2,hosp,2021-10-12,DE,80+,COVID-19,589.0,356.0,425.0,494.0,579.0,673.0,766.0,879.0
testteam2-testmodel2,hosp,2021-10-13,DE,00+,COVID-19,2293.0,1397.0,1663.0,1928.0,2255.0,2617.0,2973.0,3407.0
testteam2-testmodel2,hosp,2021-10-13,DE,00-04,COVID-19,47.0,25.0,32.0,38.0,46.0,55.0,64.0,75.0
testteam2-testmodel2,hosp,2021-10-13,DE,05-14,COVID-19,44.0,23.0,29.0,36.0,43.0,51.0,60.0,70.0
testteam2-testmodel2,hosp,2021-10-13,DE,15-34,COVID-19,284.0,170.0,204.0,237.0,279.0,325.0,371.0,426.0
testteam2-testmodel2,hosp,2021-10-13,DE,35-59,COVID-19,645.0,390.0,466.0,541.0,634.0,737.0,839.0,962.0
testteam2-testmodel2,hosp,2021-10-13,DE,60-79,COVID-19,712.0,431.0,514.0,598.0,700.0,813.0,925.0,1061.0
testteam2-testmodel2,hosp,2021-10-13,DE,80+,COVID-19,578.0,349.0,417.0,485.0,568.0,661.0,752.0,863.0
testteam2-testmodel2,hosp,2021-10-14,DE,00+,COVID-19,2246.0,1368.0,1628.0,1888.0,2208.0,2562.0,2911.0,3336.0
testteam2-testmodel2,hosp,2021-10-14,DE,00-04,COVID-19,45.0,24.0,30.0,37.0,44.0,53.0,61.0,72.0
testteam2-testmodel2,hosp,2021-10-14,DE,05-14,COVID-19,46.0,25.0,31.0,37.0,45.0,54.0,62.0,72.0
testteam2-testmodel2,hosp,2021-10-14,DE,15-34,COVID-19,287.0,171.0,206.0,240.0,282.0,329.0,375.0,430.0
testteam2-testmodel2,hosp,2021-10-14,DE,35-59,COVID-19,631.0,382.0,456.0,530.0,621.0,721.0,821.0,941.0
testteam2-testmodel2,hosp,2021-10-14,DE,60-79,COVID-19,690.0,418.0,499.0,579.0,679.0,789.0,897.0,1029.0
testteam2-testmodel2,hosp,2021-10-14,DE,80+,COVID-19,562.0,340.0,406.0,472.0,553.0,643.0,731.0,839.0
testteam2-testmodel2,hosp,2021-10-15,DE,00+,COVID-19,2204.0,1343.0,1598.0,1854.0,2168.0,2515.0,2858.0,3275.0
testteam2-testmodel2,hosp,2021-10-15,DE,00-04,COVID-19,48.0,26.0,33.0,39.0,47.0,56.0,65.0,76.0
testteam2-testmodel2,hosp,2021-10-15,DE,05-14,COVID-19,44.0,23.0,29.0,36.0,43.0,51.0,60.0,70.0
testteam2-testmodel2,hosp,2021-10-15,DE,15-34,COVID-19,298.0,178.0,214.0,250.0,293.0,342.0,389.0,448.0
testteam2-testmodel2,hosp,2021-10-15,DE,35-59,COVID-19,601.0,364.0,434.0,505.0,591.0,687.0,782.0,897.0
testteam2-testmodel2,hosp,2021-10-15,DE,60-79,COVID-19,681.0,412.0,492.0,572.0,670.0,778.0,885.0,1016.0
testteam2-testmodel2,hosp,2021-10-15,DE,80+,COVID-19,547.0,330.0,394.0,459.0,537.0,625.0,711.0,816.0
testteam2-testmodel2,hosp,2021-10-16,DE,00+,COVID-19,2126.0,1295.0,1542.0,1788.0,2091.0,2426.0,2757.0,3159.0
testteam2-testmodel2,hosp,2021-10-16,DE,00-04,COVID-19,43.0,23.0,29.0,35.0,43.0,51.0,59.0,69.0
testteam2-testmodel2,hosp,2021-10-16,DE,05-14,COVID-19,43.0,23.0,29.0,35.0,42.0,50.0,58.0,68.0
testteam2-testmodel2,hosp,2021-10-16,DE,15-34,COVID-19,280.0,167.0,201.0,234.0,275.0,321.0,366.0,420.0
testteam2-testmodel2,hosp,2021-10-16,DE,35-59,COVID-19,563.0,340.0,406.0,472.0,553.0,643.0,732.0,840.0
testteam2-testmodel2,hosp,2021-10-16,DE,60-79,COVID-19,653.0,395.0,471.0,548.0,642.0,746.0,848.0,973.0
testteam2-testmodel2,hosp,2021-10-16,DE,80+,COVID-19,560.0,338.0,404.0,469.0,550.0,639.0,728.0,835.0
testteam2-testmodel2,hosp,2021-10-17,DE,00+,COVID-19,2078.0,1265.0,1506.0,1747.0,2043.0,2371.0,2694.0,3087.0
testteam2-testmodel2,hosp,2021-10-17,DE,00-04,COVID-19,38.0,20.0,25.0,30.0,37.0,44.0,51.0,60.0
testteam2-testmodel2,hosp,2021-10-17,DE,05-14,COVID-19,46.0,25.0,31.0,37.0,45.0,54.0,62.0,72.0
testteam2-testmodel2,hosp,2021-10-17,DE,15-34,COVID-19,274.0,164.0,197.0,229.0,270.0,314.0,358.0,412.0
testteam2-testmodel2,hosp,2021-10-17,DE,35-59,COVID-19,540.0,326.0,389.0,453.0,531.0,617.0,702.0,806.0
testteam2-testmodel2,hosp,2021-10-17,DE,60-79,COVID-19,638.0,386.0,461.0,535.0,627.0,729.0,829.0,951.0
testteam2-testmodel2,hosp,2021-10-17,DE,80+,COVID-19,557.0,336.0,402.0,467.0,547.0,636.0,724.0,831.0
