model,target_type,forecast_date,target_end_date,location,age_group,pathogen,mean,q0.025,q0.1,q0.25,q0.5,q0.75,q0.9,q0.975,retrospective
KIT-simple_nowcast,hosp,2021-08-21,2021-07-24,DE,00+,COVID-19,557.0,549.0,550.0,552.0,555.0,560.0,566.0,575.0,True
KIT-simple_nowcast,hosp,2021-08-21,2021-07-24,DE,00-04,COVID-19,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,True
KIT-simple_nowcast,hosp,2021-08-21,2021-07-24,DE,05-14,COVID-19,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,True
KIT-simple_nowcast,hosp,2021-08-21,2021-07-24,DE,15-34,COVID-19,155.0,153.0,153.0,153.0,154.0,155.0,157.0,159.0,True
KIT-simple_nowcast,hosp,2021-08-21,2021-07-24,DE,35-59,COVID-19,205.0,200.0,201.0,202.0,204.0,207.0,210.0,215.0,True
KIT-simple_nowcast,hosp,2021-08-21,2021-07-24,DE,60-79,COVID-19,111.0,109.0,109.0,109.0,110.0,112.0,113.0,116.0,True
KIT-simple_nowcast,hosp,2021-08-21,2021-07-24,DE,80+,COVID-19,68.0,67.0,67.0,67.0,67.0,68.0,70.0,72.0,True
KIT-simple_nowcast,hosp,2021-08-21,2021-07-24,DE-BB,00+,COVID-19,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,True
KIT-simple_nowcast,hosp,2021-08-21,2021-07-24,DE-BE,00+,COVID-19,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,True
KIT-simple_nowcast,hosp,2021-08-21,2021-07-24,DE-BW,00+,COVID-19,59.0,58.0,58.0,58.0,59.0,59.0,60.0,62.0,True
KIT-simple_nowcast,hosp,2021-08-21,2021-07-24,DE-BY,00+,COVID-19,73.0,70.0,70.0,71.0,72.0,74.0,76.0,79.0,True
KIT-simple_nowcast,hosp,2021-08-21,2021-07-24,DE-HB,00+,COVID-19,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,True
KIT-simple_nowcast,hosp,2021-08-21,2021-07-24,DE-HE,00+,COVID-19,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,True
