model,target_type,forecast_date,target_end_date,location,age_group,pathogen,mean,q0.025,q0.1,q0.25,q0.5,q0.75,q0.9,q0.975,retrospective
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE,00+,COVID-19,3189.4235,3167.0,,3180.75,3189.0,3197.0,3206.0,3216.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE,00-04,COVID-19,97.405,96.0,,96.0,97.0,98.0,99.0,101.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE,05-14,COVID-19,82.5285,82.0,,82.0,82.0,83.0,84.0,84.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE,15-34,COVID-19,540.922,533.0,,537.0,540.0,544.0,547.0,552.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE,35-59,COVID-19,1190.0955,1178.975,,1185.0,1190.0,1194.0,1199.0,1205.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE,60-79,COVID-19,761.6595,752.0,,758.0,761.0,765.0,769.0,774.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE,80+,COVID-19,507.287,501.0,,504.0,507.0,510.0,513.0,517.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE-BB,00+,COVID-19,36.4075,36.0,,36.0,36.0,37.0,37.0,38.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE-BE,00+,COVID-19,90.989,90.0,,90.0,91.0,92.0,93.0,94.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE-BW,00+,COVID-19,535.8445,529.0,,533.0,535.0,538.0,541.0,545.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE-BY,00+,COVID-19,612.4295,607.0,,610.0,612.0,614.0,617.0,620.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE-HB,00+,COVID-19,41.2785,41.0,,41.0,41.0,41.0,42.0,43.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE-HE,00+,COVID-19,311.231,306.0,,309.0,311.0,313.0,316.0,319.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE-HH,00+,COVID-19,76.5125,73.0,,75.0,76.0,78.0,80.0,83.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE-MV,00+,COVID-19,27.745,27.0,,27.0,27.0,28.0,29.0,30.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE-NI,00+,COVID-19,276.652,274.0,,275.0,276.0,278.0,279.0,281.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE-NW,00+,COVID-19,730.7245,716.0,,725.0,730.0,736.0,742.0,750.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE-RP,00+,COVID-19,194.982,190.0,,193.0,195.0,197.0,199.0,203.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE-SH,00+,COVID-19,82.704,81.0,,82.0,82.0,84.0,85.0,86.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE-SL,00+,COVID-19,29.182,29.0,,29.0,29.0,29.0,30.0,30.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE-SN,00+,COVID-19,66.058,65.0,,65.0,66.0,67.0,68.0,69.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE-ST,00+,COVID-19,33.7115,33.0,,33.0,33.0,34.0,35.0,36.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-11,DE-TH,00+,COVID-19,45.541,44.0,,44.0,45.0,46.0,47.0,49.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE,00+,COVID-19,3158.7865,3135.0,,3149.0,3158.0,3168.0,3177.0,3187.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE,00-04,COVID-19,98.5945,97.0,,98.0,98.0,99.0,100.0,102.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE,05-14,COVID-19,79.6085,79.0,,79.0,79.0,80.0,81.0,82.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE,15-34,COVID-19,536.004,527.0,,532.0,536.0,539.0,543.0,547.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE,35-59,COVID-19,1150.2925,1138.0,,1145.0,1150.0,1155.0,1160.0,1165.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE,60-79,COVID-19,759.183,749.0,,755.0,759.0,763.0,767.0,773.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE,80+,COVID-19,523.959,517.0,,521.0,524.0,527.0,530.0,534.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE-BB,00+,COVID-19,34.5045,34.0,,34.0,34.0,35.0,36.0,36.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE-BE,00+,COVID-19,92.053,91.0,,91.0,92.0,93.0,94.0,95.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE-BW,00+,COVID-19,531.85,525.0,,529.0,531.0,534.0,538.0,542.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE-BY,00+,COVID-19,622.26,616.0,,619.0,622.0,625.0,627.0,631.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE-HB,00+,COVID-19,36.3255,36.0,,36.0,36.0,37.0,37.0,38.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE-HE,00+,COVID-19,303.811,298.0,,301.0,303.0,306.0,308.1,312.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE-HH,00+,COVID-19,70.7955,67.0,,69.0,70.0,72.0,74.0,78.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE-MV,00+,COVID-19,19.7685,19.0,,19.0,19.0,20.0,21.0,22.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE-NI,00+,COVID-19,270.983,268.0,,270.0,271.0,272.0,273.0,276.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE-NW,00+,COVID-19,736.0785,720.0,,730.0,736.0,742.0,748.0,755.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE-RP,00+,COVID-19,197.731,192.0,,195.0,197.0,200.0,202.0,206.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE-SH,00+,COVID-19,79.961,78.0,,79.0,80.0,81.0,82.0,84.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE-SL,00+,COVID-19,23.2005,23.0,,23.0,23.0,23.0,24.0,24.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE-SN,00+,COVID-19,65.198,64.0,,64.0,65.0,66.0,67.0,68.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE-ST,00+,COVID-19,30.848,30.0,,30.0,31.0,31.0,32.0,34.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-12,DE-TH,00+,COVID-19,44.656,43.0,,44.0,44.0,45.0,47.0,48.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE,00+,COVID-19,3151.509,3126.0,,3142.0,3151.0,3160.0,3170.0,3182.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE,00-04,COVID-19,94.755,93.0,,94.0,94.0,96.0,97.0,98.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE,05-14,COVID-19,79.6605,79.0,,79.0,79.0,80.0,81.0,82.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE,15-34,COVID-19,542.836,534.0,,539.0,542.0,546.0,550.0,555.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE,35-59,COVID-19,1131.978,1119.0,,1127.0,1131.0,1136.25,1142.0,1148.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE,60-79,COVID-19,763.987,753.0,,760.0,763.0,768.0,772.0,778.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE,80+,COVID-19,527.047,519.0,,524.0,527.0,530.0,533.0,538.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE-BB,00+,COVID-19,34.594,34.0,,34.0,34.0,35.0,36.0,37.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE-BE,00+,COVID-19,93.104,92.0,,92.0,93.0,94.0,95.0,96.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE-BW,00+,COVID-19,526.541,519.0,,523.0,526.0,529.0,533.0,536.025,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE-BY,00+,COVID-19,635.677,629.0,,633.0,635.0,638.0,641.0,645.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE-HB,00+,COVID-19,38.3605,38.0,,38.0,38.0,39.0,39.0,40.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE-HE,00+,COVID-19,291.3255,285.0,,289.0,291.0,294.0,296.0,300.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE-HH,00+,COVID-19,66.0965,62.0,,64.0,65.0,67.25,70.0,73.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE-MV,00+,COVID-19,17.8085,17.0,,17.0,18.0,18.0,19.0,21.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE-NI,00+,COVID-19,276.3695,273.0,,275.0,276.0,278.0,279.0,281.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE-NW,00+,COVID-19,728.0665,712.0,,722.0,728.0,734.0,740.0,747.025,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE-RP,00+,COVID-19,196.225,191.0,,194.0,196.0,198.0,201.0,204.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE-SH,00+,COVID-19,86.2055,84.0,,85.0,86.0,87.0,89.0,90.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE-SL,00+,COVID-19,24.213,24.0,,24.0,24.0,24.0,25.0,26.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE-SN,00+,COVID-19,65.322,64.0,,64.0,65.0,66.0,67.0,69.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE-ST,00+,COVID-19,30.952,30.0,,30.0,31.0,31.0,32.0,34.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-13,DE-TH,00+,COVID-19,42.7335,41.0,,42.0,42.0,44.0,45.0,46.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE,00+,COVID-19,3143.487,3117.0,,3133.0,3142.0,3153.0,3163.0,3176.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE,00-04,COVID-19,87.8805,86.0,,87.0,88.0,89.0,90.0,92.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE,05-14,COVID-19,67.721,67.0,,67.0,67.0,68.0,69.0,70.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE,15-34,COVID-19,531.787,522.0,,528.0,531.0,535.0,539.0,544.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE,35-59,COVID-19,1135.85,1122.0,,1130.0,1135.0,1141.0,1146.0,1152.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE,60-79,COVID-19,768.54,757.0,,764.0,768.0,773.0,778.0,783.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE,80+,COVID-19,539.636,531.0,,536.0,539.0,543.0,546.0,551.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE-BB,00+,COVID-19,31.674,31.0,,31.0,31.0,32.0,33.0,34.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE-BE,00+,COVID-19,101.4255,100.0,,100.0,101.0,102.0,103.0,105.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE-BW,00+,COVID-19,535.7675,528.0,,532.0,535.0,539.0,542.0,547.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE-BY,00+,COVID-19,627.1215,620.0,,624.0,627.0,630.0,633.0,637.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE-HB,00+,COVID-19,40.3805,40.0,,40.0,40.0,41.0,41.0,42.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE-HE,00+,COVID-19,289.3015,283.0,,286.0,289.0,292.0,294.0,298.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE-HH,00+,COVID-19,58.404,54.0,,56.0,58.0,60.0,62.0,66.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE-MV,00+,COVID-19,16.8455,16.0,,16.0,17.0,17.0,18.0,20.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE-NI,00+,COVID-19,279.824,276.0,,278.0,280.0,281.0,283.0,285.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE-NW,00+,COVID-19,731.7505,715.0,,725.0,731.0,738.0,745.0,753.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE-RP,00+,COVID-19,197.1605,191.0,,194.0,197.0,199.0,202.0,206.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE-SH,00+,COVID-19,85.373,83.0,,84.0,85.0,86.0,88.0,90.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE-SL,00+,COVID-19,18.221,18.0,,18.0,18.0,18.0,19.0,20.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE-SN,00+,COVID-19,61.4725,60.0,,60.0,61.0,62.0,63.0,65.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE-ST,00+,COVID-19,32.0815,31.0,,31.0,32.0,33.0,34.0,35.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-14,DE-TH,00+,COVID-19,37.8325,36.0,,37.0,37.0,39.0,40.0,42.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE,00+,COVID-19,3057.1785,3027.0,,3046.0,3057.0,3067.0,3078.0,3093.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE,00-04,COVID-19,85.031,83.0,,84.0,85.0,86.0,87.0,89.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE,05-14,COVID-19,58.7655,58.0,,58.0,59.0,59.0,60.0,61.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE,15-34,COVID-19,511.832,502.0,,508.0,511.0,515.0,519.0,525.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE,35-59,COVID-19,1112.6795,1097.0,,1107.0,1112.0,1118.0,1124.0,1131.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE,60-79,COVID-19,710.078,698.0,,705.0,710.0,714.0,720.0,726.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE,80+,COVID-19,565.532,556.0,,562.0,565.0,569.0,573.0,578.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE-BB,00+,COVID-19,33.77,33.0,,33.0,33.5,34.0,35.0,36.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE-BE,00+,COVID-19,104.7885,103.0,,104.0,104.0,106.0,107.0,109.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE-BW,00+,COVID-19,522.0725,513.0,,518.0,521.0,525.0,529.0,534.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE-BY,00+,COVID-19,609.334,601.0,,606.0,609.0,612.0,616.0,621.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE-HB,00+,COVID-19,34.4085,34.0,,34.0,34.0,35.0,35.0,36.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE-HE,00+,COVID-19,283.6405,277.0,,281.0,283.0,286.0,289.0,293.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE-HH,00+,COVID-19,48.783,44.0,,46.0,48.0,50.0,53.0,57.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE-MV,00+,COVID-19,12.9005,12.0,,12.0,13.0,13.0,14.0,16.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE-NI,00+,COVID-19,255.2625,252.0,,253.0,255.0,257.0,258.0,261.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE-NW,00+,COVID-19,720.682,703.0,,713.0,720.0,727.0,734.0,742.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE-RP,00+,COVID-19,186.06,179.975,,183.0,186.0,188.0,192.0,196.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE-SH,00+,COVID-19,82.571,80.0,,81.0,82.0,84.0,85.0,87.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE-SL,00+,COVID-19,15.226,15.0,,15.0,15.0,15.0,16.0,17.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE-SN,00+,COVID-19,72.787,71.0,,72.0,72.0,74.0,75.0,77.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE-ST,00+,COVID-19,27.2315,26.0,,26.0,27.0,28.0,29.0,31.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-15,DE-TH,00+,COVID-19,46.445,44.0,,45.0,46.0,47.0,49.0,51.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE,00+,COVID-19,3001.4225,2969.0,,2989.0,3001.0,3013.0,3025.0,3039.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE,00-04,COVID-19,78.2125,76.0,,77.0,78.0,79.0,81.0,83.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE,05-14,COVID-19,57.8435,57.0,,57.0,58.0,58.0,59.0,60.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE,15-34,COVID-19,497.221,487.0,,493.0,497.0,501.0,505.0,510.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE,35-59,COVID-19,1084.403,1068.0,,1078.0,1084.0,1090.0,1097.0,1104.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE,60-79,COVID-19,696.7795,683.0,,691.75,696.0,701.0,707.0,714.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE,80+,COVID-19,575.0475,565.0,,571.0,575.0,579.0,583.0,588.025,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE-BB,00+,COVID-19,32.9095,32.0,,32.0,33.0,33.0,34.0,36.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE-BE,00+,COVID-19,102.0975,100.0,,101.0,102.0,103.0,104.0,106.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE-BW,00+,COVID-19,505.3525,496.0,,502.0,505.0,509.0,513.0,518.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE-BY,00+,COVID-19,606.8635,598.0,,603.0,606.0,610.0,614.0,619.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE-HB,00+,COVID-19,39.439,39.0,,39.0,39.0,40.0,40.0,41.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE-HE,00+,COVID-19,285.559,278.0,,282.0,285.0,288.0,292.0,296.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE-HH,00+,COVID-19,54.297,50.0,,52.0,54.0,56.0,59.0,63.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE-MV,00+,COVID-19,18.0345,17.0,,17.0,18.0,19.0,20.0,21.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE-NI,00+,COVID-19,249.821,246.0,,248.0,250.0,251.0,253.0,256.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE-NW,00+,COVID-19,700.0855,681.0,,692.0,700.0,707.0,714.0,723.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE-RP,00+,COVID-19,159.2815,153.0,,156.0,159.0,162.0,165.0,169.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE-SH,00+,COVID-19,80.808,78.0,,79.0,81.0,82.0,83.1000000000002,86.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE-SL,00+,COVID-19,11.2545,11.0,,11.0,11.0,11.0,12.0,13.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE-SN,00+,COVID-19,74.0745,72.0,,73.0,74.0,75.0,76.0,78.0,True
Epiforecasts-independent,hosp,2021-10-09,2021-09-16,DE-ST,00+,COVID-19,34.4745,33.0,,33.0,34.0,35.0,36.0,38.0,True
