model,target_type,forecast_date,target_end_date,location,age_group,pathogen,mean,q0.025,q0.1,q0.25,q0.5,q0.75,q0.9,q0.975,retrospective
KIT-simple_nowcast,hosp,2021-08-27,2021-07-30,DE,00+,COVID-19,690,683,684,686,689,693,699,707,True
KIT-simple_nowcast,hosp,2021-08-27,2021-07-31,DE,00+,COVID-19,727,718,719,721,725,730,737,746,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-01,DE,00+,COVID-19,732,722,724,726,730,736,743,753,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-02,DE,00+,COVID-19,763,752,754,756,761,767,775,785,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-03,DE,00+,COVID-19,837,824,826,829,834,842,851,865,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-04,DE,00+,COVID-19,853,837,839,843,850,859,870,887,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-05,DE,00+,COVID-19,855,837,840,844,852,863,876,894,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-06,DE,00+,COVID-19,887,866,869,874,883,895,910,931,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-07,DE,00+,COVID-19,910,885,890,896,906,920,936,959,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-08,DE,00+,COVID-19,943,915,920,927,938,953,971,997,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-09,DE,00+,COVID-19,947,918,923,930,942,958,977,1003,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-10,DE,00+,COVID-19,993,958,965,974,988,1007,1029,1060,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-11,DE,00+,COVID-19,1088,1043,1051,1063,1081,1106,1135,1175,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-12,DE,00+,COVID-19,1223,1164,1176,1191,1214,1246,1283,1332,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-13,DE,00+,COVID-19,1337,1264,1279,1298,1327,1365,1408,1467,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-14,DE,00+,COVID-19,1427,1341,1359,1382,1416,1460,1510,1576,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-15,DE,00+,COVID-19,1493,1396,1418,1444,1481,1529,1582,1653,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-16,DE,00+,COVID-19,1560,1457,1481,1509,1549,1599,1653,1724,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-17,DE,00+,COVID-19,1702,1574,1604,1640,1689,1750,1815,1900,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-18,DE,00+,COVID-19,1813,1657,1696,1739,1799,1872,1949,2050,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-19,DE,00+,COVID-19,1883,1701,1747,1798,1867,1951,2038,2151,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-20,DE,00+,COVID-19,1972,1761,1815,1875,1955,2050,2149,2276,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-21,DE,00+,COVID-19,2029,1795,1857,1924,2012,2115,2223,2359,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-22,DE,00+,COVID-19,2071,1815,1883,1956,2052,2165,2282,2430,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-23,DE,00+,COVID-19,2135,1853,1928,2009,2115,2239,2367,2529,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-24,DE,00+,COVID-19,2273,1922,2016,2117,2248,2402,2561,2761,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-25,DE,00+,COVID-19,2402,1965,2082,2208,2372,2564,2761,3010,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-26,DE,00+,COVID-19,2477,1951,2092,2243,2440,2671,2909,3210,True
KIT-simple_nowcast,hosp,2021-08-27,2021-08-27,DE,00+,COVID-19,2514,1916,2080,2253,2476,2733,2996,3326,True
